number	trial_type	response_trial	correct	response_time	fixation_start	stimulus_start	iti_start	pd_parser_sample
8	arabic	False	False	n/a	1786.7175	1.098700000018198	2.104000000000042	215830.0
9	arabic	False	False	n/a	1791.246200000018	1.0951999999879265	2.102500000000191	224862.0
5	dots	True	False	6.005	1795.7745	7.102100000024166	7.608600000024126	n/a
4	dots	False	False	n/a	1805.812600000024	1.099399999975958	2.105399999975816	253995.0
two	written	False	False	n/a	1810.344800000012	1.1040000000000418	2.109699999988152	263102.0
eight	written	False	False	n/a	1814.8792000000176	1.1044000000065353	2.108799999982466	272156.0
g	letter	False	False	n/a	1819.413400000006	1.0984999999998308	2.10349999999994	n/a
7	arabic	False	False	n/a	1823.944800000012	1.1011999999882391	2.1095999999940886	n/a
4	arabic	False	False	n/a	1828.477100000024	1.0996999999877062	2.1028999999757616	299313.0
2	spoken	False	False	n/a	1833.008	1.104900000005955	2.1248000000118736	308411.0
5	arabic	False	False	n/a	1837.5599000000057	1.1050000000000182	2.112900000005993	n/a
1	arabic	False	False	n/a	1842.100900000006	1.09699999999998	2.1033000000115862	n/a
1	spoken	True	True	2.038	1846.632900000006	1.0992000000180724	3.65180000001169	335644.0
one	written	False	False	n/a	1852.711300000012	1.1015999999940504	2.1095999999938613	n/a
seven	written	False	False	n/a	1857.248800000012	1.1000999999939722	2.1081999999880736	n/a
2	beeps	False	False	n/a	1861.780800000012	1.0995000000000346	2.1539999999999964	n/a
1	beeps	False	False	n/a	1866.359400000006	1.100500000000011	2.117500000000064	n/a
two	written	False	False	n/a	1870.900800000012	1.0963000000122065	2.103900000005752	384149.0
6	arabic	False	False	n/a	1875.431800000012	1.1010000000001128	2.111900000005789	393230.0
g	letter	False	False	n/a	1879.976800000012	1.099199999988059	2.1093000000121265	402326.0
g	letter	False	False	n/a	1884.512400000006	1.099800000011555	2.111700000018118	411412.0
9	spoken	False	False	n/a	1889.0567000000176	1.0991999999882864	2.1111999999884574	n/a
h	letter	False	False	n/a	1893.596900000006	1.0979999999999563	2.104099999994105	429564.0
i	letter	False	False	n/a	1898.126100000024	1.094000000000051	2.1013999999759108	n/a
6	spoken	False	False	n/a	1902.656800000012	1.1039999999998145	2.1260999999940395	447705.0
3	arabic	False	False	n/a	1907.204	1.09699999999998	2.1079000000061114	n/a
six	written	False	False	n/a	1911.740800000012	1.0955999999941923	2.1068000000123	465841.0
f	letter	False	False	n/a	1916.277	1.097600000023931	2.107800000011821	474907.0
5	dots	False	False	n/a	1920.817	1.1040000000000418	2.110200000017585	484017.0
2	dots	False	False	n/a	1925.352900000006	1.1040000000000418	2.1080999999940104	493106.0
4	beeps	False	False	n/a	1929.886800000012	1.0950999999940905	2.141900000005762	502140.0
i	letter	False	False	n/a	1934.452800000012	1.0956999999882555	2.104000000000042	511274.0
3	dots	False	False	n/a	1938.9805	1.0986000000241347	2.10550000000012	n/a
1	beeps	False	False	n/a	1943.509	1.0988000000118063	2.107200000017656	529389.0
three	written	True	False	1.154	1948.0457000000176	2.253599999994321	2.7630999999942105	538450.0
1	spoken	False	False	n/a	1953.238100000024	1.0944999999999254	2.1019999999998618	n/a
eight	written	False	False	n/a	1957.7655	1.095400000006066	2.104000000000042	557895.0
7	spoken	False	False	n/a	1962.293400000006	1.0955000000001291	2.110599999994065	n/a
3	dots	False	False	n/a	1966.8292000000176	1.0954999999999018	2.1036999999882937	576037.0
3	arabic	False	False	n/a	1971.357100000024	1.0951999999879265	2.1059999999999945	585097.0
1	arabic	False	False	n/a	1975.885	1.095400000006066	2.103000000000065	n/a
6	spoken	False	False	n/a	1980.413600000024	1.0948999999759508	2.103299999982028	603206.0
1	beeps	True	True	1.059	1984.940300000012	1.0965999999939413	2.6668000000120173	612246.0
5	dots	False	False	n/a	1990.028600000024	1.0953999999760526	2.107799999982035	622421.0
4	beeps	False	False	n/a	1994.568800000012	1.1019000000057986	2.1108000000122047	631512.0
4	spoken	False	False	n/a	1999.108	1.0963000000119791	2.109000000000151	n/a
3	arabic	False	False	n/a	2003.6465	1.0959000000059405	2.104600000023993	649652.0
5	dots	True	False	1.531	2008.173800000012	2.631199999988212	3.139000000000124	658729.0
7	spoken	False	False	n/a	2013.741900000006	1.0967000000182452	2.1055999999941832	669850.0
g	letter	False	False	n/a	2018.279400000006	1.1044000000058531	2.108700000017961	678958.0
four	written	False	False	n/a	2022.816900000006	1.1024999999999636	2.11020000001804	687994.0
b	letter	False	False	n/a	2027.352100000024	1.1045999999935248	2.10859999999343	697096.0
8	arabic	False	False	n/a	2031.8845	1.09610000002408	2.1047000000178286	n/a
f	letter	False	False	n/a	2036.413600000024	1.0945999999937612	2.1038999999759653	715184.0
3	dots	False	False	n/a	2040.943400000006	1.101700000018127	2.113499999999931	n/a
2	dots	False	False	n/a	2045.484	1.1008000000119864	2.104900000005955	n/a
6	spoken	False	False	n/a	2050.016900000006	1.1039000000059789	2.10820000001786	742417.0
1	dots	False	False	n/a	2054.5525	1.1003000000123393	2.1081000000244785	n/a
2	beeps	False	False	n/a	2059.085700000018	1.099099999993996	2.1036999999882937	n/a
2	beeps	False	False	n/a	2063.612900000006	1.098200000018096	2.104700000018056	769618.0
2	beeps	False	False	n/a	2068.14	1.0976000000241584	2.106100000024071	778654.0
1	dots	False	False	n/a	2072.672300000012	1.1006999999881373	2.112699999987853	787716.0
