number	response_trial	correct	response_time	fixation_start	stimulus_start	iti_start	pd_parser_sample	trial_type
8	False	False	n/a	574.4016	575.5002	576.5069	n/a	arabic
9	False	False	n/a	578.9301	580.0267	581.0337	n/a	arabic
5	True	False	20.943	583.4596	605.4998	606.0022	n/a	dots
4	False	False	n/a	608.4265	609.5211	610.5305	n/a	dots
two	False	False	n/a	612.9549	614.0504	615.0587	n/a	written
eight	False	False	n/a	617.4824	618.5786	619.5865	n/a	written
g	False	False	n/a	622.0094	623.1067	624.1154	n/a	letter
7	False	False	n/a	626.5385	627.6374	628.6414	n/a	arabic
4	False	False	n/a	631.0661	632.1659	633.17	n/a	arabic
2	False	False	n/a	635.5939	636.6932	637.7064	n/a	spoken
5	False	False	n/a	640.1299	641.226	642.234	n/a	arabic
1	False	False	n/a	644.6584	645.7566	646.7637	232856.0	arabic
1	True	False	1.941	649.1865	650.2858	652.746	241925.0	spoken
one	False	False	n/a	655.17	656.2667	657.2738	253891.0	written
seven	False	False	n/a	659.6979	660.7931	661.8019	262923.0	written
2	False	False	n/a	664.2285	665.3307	666.4018	272023.0	beeps
1	False	False	n/a	668.8249	669.9239	670.9779	281207.0	beeps
two	False	False	n/a	673.4008	674.498	675.5064	290356.0	written
6	False	False	n/a	677.9298	679.0266	680.0344	299394.0	arabic
g	False	False	n/a	682.4593	683.5548	684.5625	308452.0	letter
g	False	False	n/a	686.9866	688.082	689.0902	317519.0	letter
9	False	False	n/a	691.5147	692.6104	693.6254	326555.0	spoken
h	False	False	n/a	696.0527	697.1548	698.1626	335648.0	letter
i	False	False	n/a	700.5856	701.6813	702.6899	344740.0	letter
6	False	False	n/a	705.1139	706.21	707.2221	353762.0	spoken
3	False	False	n/a	709.6496	710.7467	711.754	362852.0	arabic
six	False	False	n/a	714.1786	715.2731	716.282	371904.0	written
f	False	False	n/a	718.7094	719.8105	720.8176	380991.0	letter
5	False	False	n/a	723.2419	724.3398	725.3469	390023.0	dots
2	False	False	n/a	727.7707	728.866	729.8732	399101.0	dots
4	False	False	n/a	732.297	733.3976	734.4494	408138.0	beeps
i	False	False	n/a	736.8743	737.9696	738.9785	417332.0	letter
3	False	False	n/a	741.4028	742.4978	743.506	426353.0	dots
1	False	False	n/a	745.9299	747.0269	748.0345	435404.0	beeps
three	True	False	1.99	750.4593	753.5452	754.0511	444443.0	written
1	False	False	n/a	756.4744	757.5705	758.5784	n/a	spoken
eight	False	False	n/a	761.0041	762.0994	763.1056	465562.0	written
7	False	False	n/a	765.5307	766.6257	767.6422	474595.0	spoken
3	False	False	n/a	770.0661	771.1621	772.1695	483685.0	dots
3	False	False	n/a	774.5931	775.6903	776.6976	492730.0	arabic
1	False	False	n/a	779.1227	780.2195	781.2286	501804.0	arabic
6	False	False	n/a	783.6602	784.7622	785.7701	510887.0	spoken
1	True	True	1.794	788.1948	789.29	791.5945	519939.0	beeps
5	False	False	n/a	794.0174	795.1171	796.122	n/a	dots
4	False	False	n/a	798.5468	799.6414	800.6503	540638.0	beeps
4	False	False	n/a	803.0742	804.1693	805.1852	549699.0	spoken
3	False	False	n/a	807.6104	808.705	809.7153	558744.0	arabic
5	True	False	2.976	812.1384	816.211	816.7145	567800.0	dots
7	False	False	n/a	819.1384	820.2347	821.2434	n/a	spoken
g	False	False	n/a	823.6664	824.7619	825.7699	590866.0	letter
four	False	False	n/a	828.1946	829.2896	830.2984	599938.0	written
b	False	False	n/a	832.7213	833.8219	834.8249	609011.0	letter
8	False	False	n/a	837.2513	838.3459	839.3567	618038.0	arabic
f	False	False	n/a	841.7899	842.8935	843.8975	627131.0	letter
