number	response_trial	correct	response_time	fixation_start	stimulus_start	iti_start	pd_parser_sample	trial_type
9	False	False	n/a	1745.7306	1.0931	2.0977	n/a	spoken
5	False	False	n/a	1750.2538	1.098	2.103	635159.0	dots
6	False	False	n/a	1754.7811	1.0977	2.1008	639706.0	arabic
2	False	False	n/a	1759.3075	1.0978	2.1036	644219.0	dots
8	False	False	n/a	1763.8346	1.098	2.1033	648763.0	arabic
7	False	False	n/a	1768.3635	1.0978	2.1037	653291.0	arabic
7	True	True	4.407	1772.8928	1.0929	6.0023	657819.0	spoken
3	False	False	n/a	1781.3187	1.0979	2.1037	666226.0	dots
2	False	False	n/a	1785.8447	1.0973	2.1031	670771.0	spoken
five	False	False	n/a	1790.3734	1.0943	2.0991	675301.0	written
1	False	False	n/a	1794.8984	1.0931	2.1049	679825.0	spoken
1	False	False	n/a	1799.4271	1.0979	2.1039	n/a	dots
1	True	False	16.242	1803.9534	17.3405	17.8457	n/a	arabic
4	False	False	n/a	1824.2201	1.0941	2.0999	n/a	dots
2	False	False	n/a	1828.7456	1.0972	2.0992	n/a	dots
1	False	False	n/a	1833.2707	1.0978	2.1036	718193.0	beeps
2	False	False	n/a	1837.7997	1.0977	2.1003	n/a	beeps
six	False	False	n/a	1842.3206	1.0978	2.1029	727247.0	written
6	False	False	n/a	1846.8458	1.0978	2.1033	731772.0	spoken
4	False	False	n/a	1851.3746	1.0962	2.1017	736301.0	beeps
5	False	False	n/a	1855.8998	1.0969	2.1023	740828.0	beeps
4	False	False	n/a	1860.4257	1.0964	2.1013	745356.0	beeps
9	False	False	n/a	1864.9523	1.0978	2.1016	749878.0	arabic
6	False	False	n/a	1869.476	1.098	2.1021	754407.0	spoken
3	False	False	n/a	1873.9992	1.0967	2.1022	758923.0	spoken
6	True	False	4.03	1878.5259	5.1284	5.6292	763445.0	arabic
five	False	False	n/a	1886.5782	1.0955	2.1013	771504.0	written
9	False	False	n/a	1891.1051	1.0929	2.0985	776032.0	spoken
3	False	False	n/a	1895.6293	1.0947	2.1003	n/a	spoken
4	False	False	n/a	1900.1506	1.0979	2.1019	n/a	beeps
9	False	False	n/a	1904.6731	1.0981	2.1031	789598.0	spoken
6	False	False	n/a	1909.1981	1.0981	2.1035	n/a	spoken
1	False	False	n/a	1913.724	1.0926	2.0976	n/a	spoken
3	False	False	n/a	1918.2423	1.0949	2.0971	n/a	arabic
1	True	False	5.294	1922.7609	1.0931	6.8934	n/a	spoken
8	False	False	n/a	1932.0751	1.0952	2.1006	817003.0	arabic
4	False	False	n/a	1936.6011	1.0979	2.1007	821525.0	beeps
4	False	False	n/a	1941.1228	1.0975	2.1033	826054.0	arabic
2	False	False	n/a	1945.6518	1.0969	2.0991	830582.0	beeps
1	False	False	n/a	1950.1746	1.0978	2.1032	835110.0	spoken
6	False	False	n/a	1954.7016	1.0979	2.1029	839637.0	spoken
1	False	False	n/a	1959.2248	1.0978	2.1038	844133.0	dots
5	False	False	n/a	1963.7538	1.0968	2.1004	848678.0	dots
4	False	False	n/a	1968.2798	1.0979	2.1038	853203.0	dots
3	False	False	n/a	1972.8092	1.0959	2.0985	857737.0	beeps
2	True	True	4.53	1977.3334	1.093	6.1294	862264.0	beeps
9	False	False	n/a	1985.8882	1.0972	2.1028	870817.0	arabic
seven	True	False	15.192	1990.4166	16.2908	16.7932	875346.0	written
six	True	False	8.325	2009.6317	9.4225	9.9276	894557.0	written
4	False	False	n/a	2021.9851	1.0978	2.1039	906920.0	spoken
two	False	False	n/a	2026.512	1.0932	2.0981	911436.0	written
8	False	False	n/a	2031.0345	1.093	2.0973	915965.0	arabic
3	False	False	n/a	2035.5575	1.0945	2.0999	920464.0	dots
five	False	False	n/a	2040.0788	1.0979	2.1034	925009.0	written
3	True	False	5.591	2044.6031	6.6871	7.1886	929527.0	arabic
6	False	False	n/a	2054.216	1.098	2.1029	939141.0	arabic
1	False	False	n/a	2058.7432	1.0963	2.0996	943683.0	arabic
2	True	False	2.417	2063.2686	3.5115	4.0125	948198.0	dots
2	False	False	n/a	2069.7066	1.0944	2.0971	954634.0	beeps
2	False	False	n/a	2074.2282	1.098	2.1034	959156.0	dots
two	False	False	n/a	2078.7538	1.098	2.0998	963680.0	written
four	False	False	n/a	2083.2783	1.0979	2.1028	968205.0	written
6	False	False	n/a	2087.8048	1.0952	2.0994	972735.0	arabic
8	False	False	n/a	2092.3298	1.0979	2.102	977264.0	arabic
4	False	False	n/a	2096.8545	1.0949	2.0974	981785.0	beeps
9	False	False	n/a	2101.3724	1.0952	2.0965	986302.0	arabic
eight	False	False	n/a	2105.8945	1.0957	2.101	990831.0	written
4	False	False	n/a	2110.4183	1.0979	2.1022	995354.0	beeps
1	False	False	n/a	2114.946	1.0937	2.0974	999864.0	dots
six	False	False	n/a	2119.4691	1.0978	2.1027	1004403.0	written
4	False	False	n/a	2123.9972	1.098	2.1038	1008916.0	dots
2	False	False	n/a	2128.5235	1.0951	2.1008	1013448.0	beeps
2	False	False	n/a	2133.0455	1.0978	2.1033	1017971.0	spoken
2	False	False	n/a	2137.5718	1.0937	2.0992	1022498.0	beeps
nine	False	False	n/a	2142.0964	1.0954	2.1009	1027025.0	written
seven	False	False	n/a	2146.6188	1.0979	2.102	1031548.0	written
3	False	False	n/a	2151.1417	1.0964	2.1024	1036075.0	dots
5	False	False	n/a	2155.6666	1.0955	2.1018	1040575.0	dots
one	True	False	4.849	2160.194	5.9467	6.4519	1045119.0	written
5	False	False	n/a	2169.0715	1.0962	2.1012	1053984.0	dots
5	False	False	n/a	2173.5959	1.095	2.0968	1058522.0	beeps
five	False	False	n/a	2178.113	1.0978	2.1029	1063041.0	written
5	False	False	n/a	2182.6413	1.0979	2.1029	1067570.0	spoken
2	False	False	n/a	2187.1652	1.0979	2.1028	1072099.0	arabic
5	False	False	n/a	2191.6933	1.0949	2.1005	1076620.0	beeps
1	False	False	n/a	2196.2191	1.0952	2.101	1081147.0	beeps
5	False	False	n/a	2200.746	1.0979	2.1029	1085676.0	arabic
9	False	False	n/a	2205.2745	1.0959	2.1012	1090204.0	spoken
2	False	False	n/a	2209.8013	1.0979	2.1033	1094733.0	beeps
one	False	False	n/a	2214.3264	1.0979	2.103	1099256.0	written
6	False	False	n/a	2218.8538	1.0979	2.0998	1103783.0	spoken
2	False	False	n/a	2223.3792	1.0969	2.1031	1108294.0	dots
2	False	False	n/a	2227.9076	1.0948	2.1005	1112816.0	beeps
4	False	False	n/a	2232.4302	1.0976	2.1035	1117343.0	dots
2	True	True	3.015	2236.9595	1.0979	4.6159	1121882.0	spoken
2	False	False	n/a	2243.9997	1.0951	2.1007	1128927.0	arabic
3	False	False	n/a	2248.5223	1.0979	2.1031	1133448.0	dots
