number	response_trial	correct	response_time	fixation_start	stimulus_start	iti_start	pd_parser_sample	trial_type
5	False	False	n/a	1215.4629	1.0981	2.1023	n/a	arabic
2	False	False	n/a	1219.992	1.0982	2.1041	n/a	dots
eight	False	False	n/a	1224.5219	1.0951	2.101	n/a	written
one	False	False	n/a	1229.0488	1.098	2.1019	n/a	written
9	False	False	n/a	1233.5739	1.0981	2.104	n/a	arabic
2	False	False	n/a	1238.1016	1.0949	2.0986	n/a	dots
4	False	False	n/a	1242.6261	1.0954	2.1086	n/a	spoken
1	False	False	n/a	1247.1568	1.0933	2.1387	n/a	beeps
five	False	False	n/a	1251.7207	1.098	2.101	136615.0	written
4	False	False	n/a	1256.246	1.0979	2.104	141151.0	dots
3	False	False	n/a	1260.7756	1.0979	2.1039	n/a	arabic
5	False	False	n/a	1265.3015	1.098	2.109	n/a	spoken
6	False	False	n/a	1269.8348	1.0951	2.108	n/a	spoken
8	False	False	n/a	1274.3681	1.0963	2.1079	n/a	spoken
nine	False	False	n/a	1278.901	1.0933	2.098	n/a	written
3	False	False	n/a	1283.4246	1.0961	2.1021	n/a	dots
3	False	False	n/a	1287.9478	1.0956	2.108	n/a	spoken
4	False	False	n/a	1292.4764	1.0928	2.0985	n/a	dots
2	True	True	3.544	1297.0005	1.0953	5.18	n/a	beeps
one	False	False	n/a	1304.6059	1.0951	2.0962	n/a	written
7	False	False	n/a	1309.1226	1.0976	2.109	194044.0	spoken
7	False	False	n/a	1313.6571	1.094	2.0967	198576.0	arabic
2	False	False	n/a	1318.1793	1.0959	2.1075	203086.0	spoken
8	False	False	n/a	1322.7123	1.0971	2.1017	207649.0	spoken
2	False	False	n/a	1327.2343	1.0979	2.103	212142.0	dots
nine	False	False	n/a	1331.7607	1.0973	2.103	216684.0	written
5	False	False	n/a	1336.2894	1.0978	2.1002	221206.0	arabic
1	False	False	n/a	1340.8153	1.0978	2.1036	225738.0	dots
5	False	False	n/a	1345.3445	1.0978	2.1033	230271.0	arabic
3	False	False	n/a	1349.8701	1.0979	2.2322	234789.0	beeps
3	False	False	n/a	1354.5235	1.0944	2.0999	n/a	beeps
four	False	False	n/a	1359.049	1.0965	2.1017	n/a	written
8	False	False	n/a	1363.5759	1.098	2.1039	n/a	arabic
9	False	False	n/a	1368.1016	1.0965	2.1017	n/a	arabic
2	False	False	n/a	1372.626	1.0949	2.0983	257550.0	spoken
5	False	False	n/a	1377.147	1.0979	2.1035	262075.0	spoken
5	False	False	n/a	1381.6761	1.0952	2.1014	266600.0	dots
6	False	False	n/a	1386.1982	1.0978	2.1035	271123.0	spoken
2	False	False	n/a	1390.7239	1.0979	2.1027	275652.0	spoken
eight	True	False	2.374	1395.2494	3.4705	3.971	280169.0	written
4	False	False	n/a	1401.6432	1.0978	2.1037	286576.0	spoken
three	False	False	n/a	1406.1725	1.0934	2.0986	291104.0	written
nine	False	False	n/a	1410.692	1.0961	2.1014	295610.0	written
two	False	False	n/a	1415.219	1.0951	2.1009	300140.0	written
5	True	True	4.749	1419.7455	1.0951	6.4766	304653.0	beeps
5	False	False	n/a	1428.6474	1.0979	2.1039	313554.0	dots
7	False	False	n/a	1433.1729	1.0937	2.0991	318096.0	arabic
5	False	False	n/a	1437.6933	1.0948	2.1002	322619.0	beeps
4	False	False	n/a	1442.2143	1.0979	2.0999	n/a	dots
7	False	False	n/a	1446.7368	1.0931	2.0984	n/a	arabic
1	False	False	n/a	1451.2608	1.0953	2.1011	336180.0	arabic
nine	True	False	6.679	1455.7875	7.777	8.2775	340709.0	written
9	False	False	n/a	1466.4868	1.0941	2.0996	351404.0	arabic
1	True	False	6.562	1471.0094	1.0979	8.166	355936.0	beeps
three	False	False	n/a	1481.5963	1.0971	2.1025	366530.0	written
4	False	False	n/a	1486.1234	1.0962	2.1388	371050.0	beeps
1	False	False	n/a	1490.6877	1.0953	2.1004	375612.0	arabic
1	False	False	n/a	1495.2137	1.0968	2.1004	380142.0	beeps
9	False	False	n/a	1499.7394	1.0979	2.1094	384668.0	spoken
9	False	False	n/a	1504.2745	1.0962	2.1015	389198.0	spoken
1	False	False	n/a	1508.7974	1.098	2.1026	393721.0	beeps
2	False	False	n/a	1513.3207	1.0977	2.1021	398250.0	beeps
1	False	False	n/a	1517.8444	1.098	2.1043	402762.0	dots
5	False	False	n/a	1522.3693	1.0979	2.1038	407294.0	beeps
two	True	False	2.896	1526.8972	3.9901	4.4933	n/a	written
3	False	False	n/a	1533.8123	1.0979	2.1037	418723.0	dots
2	False	False	n/a	1538.3416	1.0933	2.0972	423268.0	arabic
3	False	False	n/a	1542.8631	1.0979	2.1041	n/a	dots
7	False	False	n/a	1547.393	1.0979	2.099	n/a	arabic
7	True	False	26.687	1551.9125	27.7851	28.2903	n/a	arabic
5	False	False	n/a	1582.6285	1.096	2.1017	n/a	arabic
4	False	False	n/a	1587.1558	1.0944	2.0999	n/a	beeps
9	False	False	n/a	1591.6795	1.0953	2.1008	n/a	spoken
6	False	False	n/a	1596.2019	1.0978	2.1019	n/a	arabic
2	False	False	n/a	1600.7293	1.0978	2.1031	n/a	beeps
four	False	False	n/a	1605.2538	1.0978	2.1032	490182.0	written
two	False	False	n/a	1609.7826	1.0938	2.0991	494715.0	written
one	False	False	n/a	1614.3067	1.0978	2.1031	499235.0	written
1	False	False	n/a	1618.8354	1.0967	2.1023	503762.0	beeps
six	False	False	n/a	1623.3628	1.097	2.1028	508288.0	written
4	False	False	n/a	1627.8912	1.0941	2.1001	512815.0	spoken
eight	False	False	n/a	1632.4125	1.098	2.1035	517341.0	written
7	False	False	n/a	1636.9416	1.0952	2.1	521868.0	arabic
4	False	False	n/a	1641.4651	1.0967	2.1028	526367.0	dots
six	True	False	2.062	1645.9935	3.1553	3.6604	530914.0	written
3	False	False	n/a	1652.075	1.0929	2.0948	536990.0	beeps
5	False	False	n/a	1656.5936	1.0958	2.0986	541516.0	beeps
2	False	False	n/a	1661.1132	1.0976	2.1027	546046.0	arabic
2	False	False	n/a	1665.6419	1.0983	2.1043	550569.0	dots
5	False	False	n/a	1670.1677	1.0947	2.1006	555079.0	dots
eight	False	False	n/a	1674.6933	1.0979	2.1036	559624.0	written
4	False	False	n/a	1679.2203	1.0939	2.0999	564131.0	dots
2	False	False	n/a	1683.7459	1.0933	2.099	568664.0	beeps
4	False	False	n/a	1688.2704	1.0965	2.1024	573176.0	dots
3	False	False	n/a	1692.7956	1.0978	2.1037	577721.0	dots
3	False	False	n/a	1697.3249	1.0978	2.1028	582250.0	beeps
nine	False	False	n/a	1701.8503	1.0967	2.102	586769.0	written
seven	True	False	12.698	1706.3779	13.7911	14.2941	591294.0	written
3	False	False	n/a	1723.0958	1.0979	2.1024	n/a	spoken
two	False	False	n/a	1727.6226	1.0979	2.1013	n/a	written
9	False	False	n/a	1732.1452	1.0979	2.1035	n/a	spoken
5	False	False	n/a	1736.6742	1.0978	2.1032	621602.0	beeps
5	False	False	n/a	1741.2029	1.0979	2.1039	n/a	dots
