number	response_trial	correct	response_time	fixation_start	stimulus_start	iti_start	pd_parser_sample	trial_type
5	False	False	n/a	4710.2738	1.097	2.0991	n/a	arabic
2	False	False	n/a	4714.7961	1.0983	2.1031	n/a	dots
eight	False	False	n/a	4719.3245	1.0951	2.0989	-30761.0	written
one	False	False	n/a	4723.8487	1.0966	2.1007	n/a	written
9	False	False	n/a	4728.3716	1.0981	2.1008	n/a	arabic
2	False	False	n/a	4732.8983	1.0981	2.1041	n/a	dots
4	False	False	n/a	4737.4244	1.0986	2.114	n/a	spoken
1	False	False	n/a	4741.9632	1.098	2.1583	n/a	beeps
five	False	False	n/a	4746.5423	1.0939	2.0999	n/a	written
4	False	False	n/a	4751.068	1.098	2.1044	968.0	dots
3	False	False	n/a	4755.5982	1.0944	2.0967	5509.0	arabic
5	False	False	n/a	4760.1166	1.0949	2.1067	10010.0	spoken
6	False	False	n/a	4764.6488	1.0951	2.107	n/a	spoken
8	False	False	n/a	4769.1797	1.0972	2.1081	19080.0	spoken
nine	False	False	n/a	4773.7114	1.0948	2.0995	23625.0	written
3	False	False	n/a	4778.2319	1.0982	2.1039	28137.0	dots
3	False	False	n/a	4782.7597	1.0944	2.1062	32654.0	spoken
4	False	False	n/a	4787.2902	1.0972	2.1031	37183.0	dots
2	True	False	3.026	4791.8189	1.0941	4.6697	41710.0	beeps
one	False	False	n/a	4798.9131	1.0976	2.1031	n/a	written
7	False	False	n/a	4803.4418	1.0979	2.1092	53354.0	spoken
7	False	False	n/a	4807.9764	1.0981	2.1025	57913.0	arabic
2	False	False	n/a	4812.5019	1.0977	2.1094	62425.0	spoken
8	False	False	n/a	4817.0341	1.0948	2.0972	66958.0	spoken
2	False	False	n/a	4821.5531	1.0935	2.0994	71452.0	dots
nine	False	False	n/a	4826.077	1.0979	2.1029	75993.0	written
5	False	False	n/a	4830.6054	1.0941	2.0982	80523.0	arabic
1	False	False	n/a	4835.1274	1.0979	2.1037	85036.0	dots
5	False	False	n/a	4839.6567	1.0978	2.0988	89576.0	arabic
3	False	False	n/a	4844.1804	1.0959	2.1438	94083.0	beeps
3	False	False	n/a	4848.75	1.0956	2.0995	98662.0	beeps
four	False	False	n/a	4853.2751	1.0935	2.0943	103191.0	written
8	False	False	n/a	4857.7943	1.0979	2.1036	107715.0	arabic
9	False	False	n/a	4862.3227	1.0938	2.0968	112234.0	arabic
2	False	False	n/a	4866.8427	1.0956	2.1013	116760.0	spoken
5	False	False	n/a	4871.3668	1.0974	2.1032	121283.0	spoken
5	False	False	n/a	4875.8955	1.0958	2.102	125798.0	dots
6	False	False	n/a	4880.4195	1.0978	2.1031	130335.0	spoken
2	False	False	n/a	4884.9482	1.0978	2.1032	134858.0	spoken
eight	True	False	2.366	4889.477	3.4616	3.964	139388.0	written
4	False	False	n/a	4895.8635	1.0967	2.1019	145783.0	spoken
three	False	False	n/a	4900.3873	1.0979	2.1031	150312.0	written
nine	False	False	n/a	4904.916	1.0944	2.0953	154831.0	written
two	False	False	n/a	4909.4321	1.0978	2.1037	159350.0	written
5	True	True	4.403	4913.9613	1.0979	6.0444	163862.0	beeps
5	False	False	n/a	4922.4313	1.0979	2.1022	172325.0	dots
7	False	False	n/a	4926.9589	1.0972	2.1026	176875.0	arabic
5	False	False	n/a	4931.4841	1.0979	2.1036	181398.0	beeps
4	False	False	n/a	4936.0099	1.096	2.1023	185912.0	dots
7	False	False	n/a	4940.5381	1.0971	2.1026	190458.0	arabic
1	False	False	n/a	4945.0663	1.0978	2.1014	194986.0	arabic
nine	True	False	2.445	4949.5921	3.5437	4.0473	199511.0	written
9	False	False	n/a	4956.0649	1.0932	2.0975	205977.0	arabic
1	True	True	2.356	4960.5877	1.0979	3.9602	210506.0	beeps
three	False	False	n/a	4966.9736	1.0979	2.1035	216890.0	written
4	False	False	n/a	4971.5026	1.0939	2.1493	221403.0	beeps
1	False	False	n/a	4976.0773	1.0942	2.0986	225995.0	arabic
1	False	False	n/a	4980.5995	1.093	2.0965	230511.0	beeps
9	False	False	n/a	4985.1173	1.094	2.1054	235035.0	spoken
9	False	False	n/a	4989.6439	1.0944	2.0997	239563.0	spoken
1	False	False	n/a	4994.1651	1.0972	2.0999	244082.0	beeps
2	False	False	n/a	4998.689	1.0978	2.1034	248604.0	beeps
1	False	False	n/a	5003.2149	1.0948	2.1	253115.0	dots
5	False	False	n/a	5007.7383	1.0941	2.0999	257659.0	beeps
two	True	False	1.999	5012.2638	3.0945	3.5952	262180.0	written
3	False	False	n/a	5018.2816	1.0959	2.1016	268186.0	dots
2	False	False	n/a	5022.8089	1.0957	2.1015	272726.0	arabic
3	False	False	n/a	5027.3361	1.0978	2.1038	277240.0	dots
7	False	False	n/a	5031.8655	1.0978	2.1032	281784.0	arabic
7	True	False	2.003	5036.3943	3.0982	3.5988	286315.0	arabic
5	False	False	n/a	5042.4188	1.094	2.0994	292337.0	arabic
4	False	False	n/a	5046.9439	1.0949	2.1002	296865.0	beeps
9	False	False	n/a	5051.4675	1.0962	2.1022	301388.0	spoken
6	False	False	n/a	5055.9956	1.098	2.1041	305914.0	arabic
2	False	False	n/a	5060.5246	1.0981	2.1038	310444.0	beeps
four	False	False	n/a	5065.0538	1.0932	2.0981	314974.0	written
two	False	False	n/a	5069.5733	1.0957	2.1007	319485.0	written
one	False	False	n/a	5074.0994	1.0928	2.0979	n/a	written
1	False	False	n/a	5078.6228	1.0929	2.0982	n/a	beeps
six	False	False	n/a	5083.1418	1.0979	2.1026	n/a	written
4	False	False	n/a	5087.67	1.093	2.0953	n/a	spoken
eight	False	False	n/a	5092.1864	1.0974	2.0982	n/a	written
7	False	False	n/a	5096.7098	1.0978	2.1015	n/a	arabic
4	False	False	n/a	5101.2333	1.0979	2.1038	n/a	dots
six	True	False	1.969	5105.7628	3.067	3.5723	n/a	written
3	False	False	n/a	5111.7607	1.0979	2.0989	n/a	beeps
5	False	False	n/a	5116.2797	1.0955	2.1013	n/a	beeps
2	False	False	n/a	5120.8064	1.0936	2.0987	n/a	arabic
2	False	False	n/a	5125.3273	1.0932	2.0991	n/a	dots
5	False	False	n/a	5129.8492	1.0937	2.0997	379751.0	dots
eight	False	False	n/a	5134.373	1.0979	2.1034	384297.0	written
4	False	False	n/a	5138.8998	1.098	2.1037	388803.0	dots
2	False	False	n/a	5143.4291	1.098	2.1045	n/a	beeps
4	False	False	n/a	5147.9593	1.0979	2.1029	397875.0	dots
3	False	False	n/a	5152.4878	1.0979	2.1036	402393.0	dots
3	False	False	n/a	5157.0168	1.0979	2.1026	406950.0	beeps
nine	False	False	n/a	5161.5401	1.0972	2.1024	411463.0	written
