trial_i	trial_type	number	response_trial	correct	response_time	fixation_start	stimulus_start	iti_start
0	arabic	5	False	False	undefined	233186.200000763	234289.200000763	235297.5
1	dots	2	False	False	n/a	237727.0	238827.0	239832.600000381
2	written	eight	False	False	n/a	242261.800000191	243363.100000381	244370.0
3	written	one	False	False	n/a	246799.800000191	247897.300000191	248901.600000381
4	arabic	9	False	False	n/a	251326.800000191	252428.100000381	253436.700000763
5	dots	2	False	False	n/a	255869.900000572	256972.900000572	257978.300000191
6	spoken	4	False	False	n/a	260403.700000763	261508.5	262615.100000381
7	beeps	1	False	False	n/a	265044.400000572	266147.400000572	267197.0
8	written	five	False	False	n/a	269636.400000572	270735.5	271746.200000763
9	dots	4	False	False	n/a	274176.900000572	275277.100000381	276287.0
10	arabic	3	False	False	n/a	278718.600000381	279818.400000572	280829.100000381
11	spoken	5	False	False	n/a	283257.400000572	284356.300000191	285401.100000381
12	spoken	6	False	False	n/a	287830.0	288930.300000191	289970.900000572
13	spoken	8	False	False	n/a	292399.700000763	293500.200000763	294539.800000191
14	written	nine	False	False	n/a	296969.700000763	298069.100000381	299079.600000381
15	dots	3	False	False	n/a	301510.300000191	302609.900000572	303618.900000572
16	spoken	3	False	False	n/a	306042.600000381	307139.5	308179.0
17	dots	4	False	False	n/a	310609.5	311709.600000381	312719.400000572
18	beeps	2	True	False	n/a	315149.400000572	317751.400000572	318259.800000191
19	written	one	False	False	n/a	320688.700000763	321788.200000763	322798.700000763
20	spoken	7	False	False	n/a	325229.300000191	326328.300000191	327369.700000763
21	arabic	7	False	False	n/a	329799.5	330898.100000381	331908.0
22	spoken	2	False	False	n/a	334339.100000381	335438.300000191	336477.200000763
23	spoken	8	False	False	n/a	338899.400000572	339998.400000572	341009.200000763
24	dots	2	False	False	n/a	343438.700000763	344537.5	345547.400000572
25	written	nine	False	False	n/a	347978.700000763	349078.100000381	350089.200000763
26	arabic	5	False	False	n/a	352516.900000572	353615.900000572	354619.0
27	dots	1	False	False	n/a	357047.700000763	358150.700000763	359158.700000763
28	arabic	5	False	False	n/a	361587.800000191	362690.700000763	363701.100000382
29	beeps	3	False	False	n/a	366130.200000763	367228.300000191	368339.5
30	beeps	3	False	False	n/a	370769.300000191	371869.700000763	372879.900000572
31	written	four	False	False	n/a	375309.800000191	376409.5	377420.400000572
32	arabic	8	False	False	n/a	379850.5	380950.300000191	381959.600000382
33	arabic	9	False	False	n/a	384390.400000572	385492.400000572	386498.100000382
34	spoken	2	False	False	n/a	388927.900000572	390029.900000572	391039.900000572
35	spoken	5	False	False	n/a	393470.5	394569.600000382	395581.400000572
36	dots	5	False	False	n/a	398010.400000572	399108.300000191	400120.200000763
37	spoken	6	False	False	n/a	402549.5	403649.200000763	404661.0
38	spoken	2	False	False	n/a	407089.5	408189.5	409199.800000191
39	written	eight	True	False	1120	411629.800000191	413855.600000382	414359.900000572
40	spoken	4	False	False	n/a	416789.200000763	417888.700000763	418897.800000191
41	written	three	False	False	n/a	421327.700000763	422427.200000763	423440.300000191
42	written	nine	False	False	n/a	425870.5	426967.400000572	427977.900000572
43	written	two	False	False	n/a	430404.300000191	431511.100000382	432515.300000191
44	beeps	5	True	False	n/a	434939.100000382	437635.200000763	438146.800000191
45	dots	5	False	False	n/a	440576.5	441676.100000382	442686.200000763
46	arabic	7	False	False	n/a	445116.0	446214.5	447224.600000382
47	beeps	5	False	False	n/a	449663.900000572	450767.100000382	451773.0
48	dots	4	False	False	n/a	454201.100000382	455302.300000191	456310.200000763
49	arabic	7	False	False	n/a	458742.300000191	459842.100000382	460851.600000382
50	arabic	1	False	False	n/a	463278.700000763	464377.200000763	465388.200000763
51	written	nine	True	False	2341	467820.5	471264.600000382	471773.0
52	arabic	9	False	False	n/a	474203.800000191	475308.400000572	476312.400000572
53	beeps	1	True	False	n/a	478742.400000572	481164.400000572	481676.200000763
54	written	three	False	False	n/a	484116.100000382	485215.800000191	486236.0
55	beeps	4	False	False	n/a	488665.900000572	489766.700000763	490805.600000382
56	arabic	1	False	False	n/a	493231.300000191	494326.900000572	495336.5
57	beeps	1	False	False	n/a	497770.400000572	498876.200000763	499885.900000572
58	spoken	9	False	False	n/a	502316.600000382	503415.800000191	504466.200000763
59	spoken	9	False	False	n/a	506895.200000763	507995.700000763	509006.800000191
60	beeps	1	False	False	n/a	511436.300000191	512546.5	513556.100000382
61	beeps	2	False	False	n/a	515986.200000763	517085.800000191	518097.400000572
62	dots	1	False	False	n/a	520527.400000572	521626.0	522635.900000572
63	beeps	5	False	False	n/a	525066.100000382	526166.0	527176.400000572
65	dots	3	False	False	n/a	534675.400000572	535776.400000572	536785.400000572
66	arabic	2	False	False	n/a	539224.300000191	540319.5	541331.900000572
67	dots	3	False	False	n/a	543763.300000191	544867.800000191	545876.900000572
68	arabic	7	False	False	n/a	548306.900000572	549405.900000572	550422.5
70	arabic	5	False	False	n/a	558029.100000381	559131.600000382	560137.700000763
71	beeps	4	False	False	n/a	562566.0	563666.600000382	564672.5
72	spoken	9	False	False	n/a	567101.200000763	568201.900000572	569212.400000572
73	arabic	6	False	False	n/a	571641.800000191	572742.0	573751.900000572
74	beeps	2	False	False	n/a	576182.0	577282.300000191	578291.800000191
75	written	four	False	False	n/a	580722.100000382	581821.100000381	582830.600000381
76	written	two	False	False	n/a	585262.600000381	586360.700000763	587372.100000381
77	written	one	False	False	n/a	589798.300000191	590899.900000572	591909.900000572
78	beeps	1	False	False	n/a	594341.700000763	595437.900000572	596453.200000763
79	written	six	False	False	n/a	598876.700000763	599986.900000572	600996.0
80	spoken	4	False	False	n/a	603427.600000382	604538.0	605547.600000381
81	written	eight	False	False	n/a	607977.800000191	609077.100000382	610096.900000572
82	arabic	7	False	False	n/a	612526.600000381	613627.100000381	614637.400000572
83	dots	4	False	False	n/a	617066.5	618167.300000191	619171.400000572
84	written	six	True	False	952	621598.0	623651.200000763	624158.600000381
85	beeps	3	False	False	n/a	626588.0	627688.800000191	628699.5
86	beeps	5	False	False	n/a	631128.900000572	632228.700000763	633239.200000763
87	arabic	2	False	False	n/a	635668.100000382	636768.700000763	637778.200000763
88	dots	2	False	False	n/a	640208.700000763	641308.900000572	642318.300000191
89	dots	5	False	False	n/a	644749.700000763	645849.800000191	646855.900000572
90	written	eight	False	False	n/a	649286.5	650388.900000572	651397.700000763
91	dots	4	False	False	n/a	653833.800000191	654941.0	655950.600000381
92	beeps	2	False	False	n/a	658377.300000191	659477.800000191	660481.900000572
93	dots	4	False	False	n/a	662911.300000191	664011.200000763	665021.600000382
94	dots	3	False	False	n/a	667451.0	668551.800000191	669561.100000381
95	beeps	3	False	False	n/a	671988.600000381	673087.800000191	674096.400000572
96	written	nine	False	False	n/a	676524.600000382	677625.400000572	678634.700000763
97	written	seven	True	False	1059	681068.900000572	683225.5	683735.600000381
98	spoken	3	False	False	n/a	686159.600000381	687260.5	688269.600000382
99	written	two	False	False	n/a	690699.300000191	691799.400000572	692809.900000572
100	spoken	9	False	False	n/a	695239.700000763	696339.5	697351.200000763
101	beeps	5	False	False	n/a	699780.100000381	700880.5	701888.900000572
102	dots	5	False	False	n/a	704318.200000763	705419.600000382	706429.600000381
103	spoken	9	False	False	n/a	708859.600000381	709958.800000191	710979.200000763
104	dots	5	False	False	n/a	713409.100000381	714509.700000763	715518.900000572
105	arabic	6	False	False	n/a	717948.800000191	719049.200000763	720053.100000381
106	dots	2	False	False	n/a	722477.700000763	723585.600000382	724595.5
107	arabic	8	False	False	n/a	727022.600000382	728117.800000191	729119.700000763
108	arabic	7	False	False	n/a	731547.200000763	732646.200000763	733652.600000382
109	spoken	7	True	True	1537	736091.800000191	737196.300000191	739241.100000382
110	dots	3	False	False	n/a	741672.0	742771.400000572	743781.400000572
111	spoken	2	False	False	n/a	746211.400000572	747311.400000572	748328.100000381
112	written	five	False	False	n/a	750761.200000763	751861.200000763	752871.400000572
113	spoken	1	False	False	n/a	755301.300000191	756401.200000763	757441.100000381
114	dots	1	False	False	n/a	759871.300000191	760969.900000572	761980.0
115	arabic	1	True	False	781	764411.400000572	766293.700000763	766799.900000572
116	dots	4	False	False	n/a	769228.100000382	770327.700000763	771329.900000572
117	dots	2	False	False	n/a	773757.300000191	774860.5	775873.900000572
118	beeps	1	False	False	n/a	778298.200000763	779397.300000191	780407.800000191
119	beeps	2	False	False	n/a	782839.5	783939.200000763	784949.800000191
120	written	six	False	False	n/a	787378.600000382	788478.700000763	789489.300000191
121	spoken	6	False	False	n/a	791919.100000381	793019.100000381	794029.600000382
122	beeps	4	False	False	n/a	796459.100000381	797559.0	798569.700000763
123	beeps	5	False	False	n/a	800999.900000572	802099.0	803109.400000572
124	beeps	4	False	False	n/a	805539.900000572	806639.100000382	807649.900000572
125	arabic	9	False	False	n/a	810078.900000572	811178.900000572	812190.0
126	spoken	6	False	False	n/a	814619.300000191	815719.100000382	816730.0
127	spoken	3	False	False	n/a	819160.0	820259.400000572	821270.5
128	arabic	6	True	False	1627	823699.300000191	826428.100000381	826937.300000191
129	written	five	False	False	n/a	829359.5	830463.300000191	831470.0
130	spoken	9	False	False	n/a	833895.600000382	834990.700000763	836000.300000191
131	spoken	3	False	False	n/a	838430.400000572	839530.0	840540.600000382
132	beeps	4	False	False	n/a	842980.900000572	844080.600000381	845090.900000572
133	spoken	9	False	False	n/a	847519.900000572	848620.400000572	849630.600000381
134	spoken	6	False	False	n/a	852059.100000382	853160.5	854170.600000382
135	spoken	1	False	False	n/a	856599.600000381	857700.5	858711.200000763
136	arabic	3	False	False	n/a	861140.800000191	862241.0	863249.800000191
137	spoken	1	True	True	956	865679.700000763	866780.700000763	868250.300000191
138	arabic	8	False	False	n/a	870680.200000763	871779.800000191	872790.5
139	beeps	4	False	False	n/a	875219.700000763	876323.600000382	877330.5
140	arabic	4	False	False	n/a	879759.800000191	880859.100000382	881868.600000382
141	beeps	2	False	False	n/a	884299.600000382	885400.300000191	886410.5
142	spoken	1	False	False	n/a	888840.600000382	889941.0	890950.700000763
143	spoken	6	False	False	n/a	893380.400000572	894480.400000572	895490.400000572
144	dots	1	False	False	n/a	897919.800000191	899020.0	900030.400000572
145	dots	5	False	False	n/a	902459.200000763	903560.800000191	904570.0
146	dots	4	False	False	n/a	906995.200000763	908090.600000382	909097.900000572
147	beeps	3	False	False	n/a	911528.300000191	912628.5	913639.100000382
148	beeps	2	True	False	n/a	916067.600000382	920048.300000191	920558.600000382
149	arabic	9	False	False	n/a	922988.300000191	924088.900000572	925096.700000763
150	written	seven	True	False	1185	927528.600000382	929815.400000572	930329.100000382
151	written	six	True	False	907	932751.900000572	934756.300000191	935263.0
152	spoken	4	False	False	n/a	937693.800000191	938791.200000763	939806.400000572
153	written	two	False	False	n/a	942236.300000191	943337.200000763	944346.800000191
154	arabic	8	False	False	n/a	946775.5	947877.400000572	948887.0
155	dots	3	False	False	n/a	951317.200000763	952416.800000191	953426.800000191
156	written	five	False	False	n/a	955857.0	956963.600000382	957970.900000572
157	arabic	3	True	False	960	960398.0	962455.800000191	962973.5
158	arabic	6	False	False	n/a	965397.600000382	966493.700000763	967500.900000572
159	arabic	1	False	False	n/a	969927.700000763	971032.200000763	972038.5
160	dots	2	True	False	1141	974467.800000191	976715.700000763	977218.0
161	beeps	2	False	False	n/a	979649.0	980751.0	981755.100000382
162	dots	2	False	False	n/a	984184.400000572	985282.800000191	986293.0
163	written	two	False	False	n/a	988724.100000382	989824.5	990834.5
164	written	four	False	False	n/a	993270.0	994369.5	995376.700000763
165	arabic	6	False	False	n/a	997807.800000191	998910.900000572	999926.100000382
166	arabic	8	False	False	n/a	1002356.0	1003452.30000019	1004457.40000057
167	beeps	4	False	False	n/a	1006887.80000019	1007987.80000019	1008992.80000019
168	arabic	9	False	False	n/a	1011421.90000057	1012523.10000038	1013532.40000057
169	written	eight	False	False	n/a	1015962.5	1017061.80000019	1018072.80000019
170	beeps	4	False	False	n/a	1020497.40000057	1021598.70000076	1022601.80000019
171	dots	1	False	False	n/a	1025030.90000057	1026131.10000038	1027142.0
172	written	six	False	False	n/a	1029572.20000076	1030670.20000076	1031681.80000019
173	dots	4	False	False	n/a	1034114.0	1035220.0	1036229.0
174	beeps	2	False	False	n/a	1038656.90000057	1039757.20000076	1040765.80000019
175	spoken	2	False	False	n/a	1043195.30000019	1044296.20000076	1045306.0
176	beeps	2	False	False	n/a	1047735.5	1048835.40000057	1049845.60000038
177	written	nine	False	False	n/a	1052275.0	1053375.40000057	1054386.10000038
178	written	seven	False	False	n/a	1056815.70000076	1057915.5	1058925.5
179	dots	3	False	False	n/a	1061356.90000057	1062453.10000038	1063458.10000038
180	dots	5	False	False	n/a	1065882.70000076	1066978.10000038	1067989.10000038
181	written	one	True	False	1593	1070418.40000057	1073111.20000076	1073613.20000076
182	dots	5	False	False	n/a	1076038.90000057	1077143.5	1078152.10000038
183	beeps	5	False	False	n/a	1080577.90000057	1081675.0	1082688.0
184	written	five	False	False	n/a	1085117.0	1086216.30000019	1087227.10000038
185	spoken	5	False	False	n/a	1089656.80000019	1090757.10000038	1091767.20000076
