trial_i	trial_type	number	response_trial	correct	response_time	fixation_start	stimulus_start	iti_start
1	dots	2	False	False	n/a	275800.099999905	276900.399999976	277906.599999905
3	written	one	False	False	n/a	284888.0	286009.299999952	287015.799999952
5	dots	2	False	False	n/a	294005.199999928	295114.799999952	296132.599999905
6	spoken	4	False	False	n/a	298556.699999928	299667.5	300823.099999905
7	beeps	1	False	False	n/a	303261.0	304356.399999976	305399.0
9	dots	4	False	False	n/a	312380.399999976	313481.099999905	314500.099999905
10	arabic	3	False	False	n/a	316929.399999976	318030.099999905	319038.599999905
11	spoken	5	False	False	n/a	321482.699999928	322584.399999976	323789.799999952
14	written	nine	False	False	n/a	335394.699999928	336489.599999905	337509.0
19	written	one	False	False	n/a	361982.599999905	363083.5	364093.699999928
20	spoken	7	False	False	n/a	366532.199999928	367642.099999905	368732.799999952
21	arabic	7	False	False	n/a	371176.0	372277.5	373284.699999928
22	spoken	2	False	False	n/a	375718.0	376815.899999976	377897.799999952
23	spoken	8	False	False	n/a	380321.5	381428.799999952	382442.899999976
25	written	nine	False	False	n/a	389432.399999976	390537.5	391552.599999905
26	arabic	5	False	False	n/a	393981.399999976	395082.699999928	396100.0
27	dots	1	False	False	n/a	398534.599999905	399631.699999928	400636.599999905
28	arabic	5	False	False	n/a	403071.199999928	404169.5	405189.5
29	beeps	3	False	False	n/a	407624.199999929	408722.5	409879.0
30	beeps	3	False	False	n/a	412308.599999905	413418.899999976	414429.399999976
31	written	four	False	False	n/a	416865.899999976	417968.799999952	418977.899999976
32	arabic	8	False	False	n/a	421417.399999976	422529.099999905	423532.5
33	arabic	9	False	False	n/a	425961.399999976	427067.799999952	428079.599999905
34	spoken	2	False	False	n/a	430502.799999952	431607.299999952	432620.699999929
35	spoken	5	False	False	n/a	435060.799999952	436161.099999905	437171.199999928
36	dots	5	False	False	n/a	439597.0	440710.699999929	441714.799999952
37	spoken	6	False	False	n/a	444150.5	445250.599999905	446260.799999952
38	spoken	2	False	False	n/a	448702.399999976	449810.099999905	450821.5
39	written	eight	True	False	1951.0	453256.5	456312.899999976	456830.799999952
40	spoken	4	False	False	n/a	459260.5	460361.199999929	461381.299999952
42	written	nine	False	False	n/a	468360.699999928	469460.299999952	470467.0
43	written	two	False	False	n/a	472902.299999952	474000.5	475004.599999905
44	beeps	5	True	False	n/a	477430.199999928	481992.699999929	482498.599999905
