trial_i	trial_type	number	response_trial	correct	response_time	fixation_start	stimulus_start	iti_start
2	written	eight	False	False	n/a	383839.5	384940.699999809	385956.599999905
3	written	one	False	False	n/a	388383.099999905	389484.400000095	390498.299999714
4	arabic	9	False	False	n/a	392925.900000095	394030.5	395038.900000095
5	dots	2	False	False	n/a	397476.599999905	398578.299999714	399580.199999809
6	spoken	4	False	False	n/a	402006.5	403109.599999905	404314.5
7	beeps	1	False	False	n/a	406744.5	407855.400000095	408904.5
9	dots	4	False	False	n/a	415906.199999809	417014.900000095	418035.900000095
10	arabic	3	False	False	n/a	420465.099999905	421569.799999714	422573.400000095
11	spoken	5	False	False	n/a	425000.599999905	426104.400000095	427164.699999809
12	spoken	6	False	False	n/a	429604.5	430706.0	431739.299999714
13	spoken	8	False	False	n/a	434173.699999809	435273.799999714	436316.599999905
14	written	nine	False	False	n/a	438744.599999905	439844.0	440864.699999809
15	dots	3	False	False	n/a	443305.099999905	444404.5	445425.099999905
16	spoken	3	False	False	n/a	447847.199999809	448956.599999905	450017.5
17	dots	4	False	False	n/a	452446.799999714	453548.799999714	454552.5
18	beeps	2	True	True	1577.0	456978.199999809	458078.599999905	460206.799999714
19	written	one	False	False	n/a	462637.199999809	463745.900000095	464757.0
20	spoken	7	False	False	n/a	467194.0	468308.900000095	469367.699999809
21	arabic	7	False	False	n/a	471807.5	472907.699999809	473919.199999809
22	spoken	2	False	False	n/a	476346.900000095	477448.799999714	478507.900000095
23	spoken	8	False	False	n/a	480939.299999714	482038.0	483058.299999714
24	dots	2	False	False	n/a	485487.099999905	486588.199999809	487609.099999905
25	written	nine	False	False	n/a	490037.799999714	491133.900000095	492157.299999714
26	arabic	5	False	False	n/a	494587.799999714	495693.299999714	496702.099999905
27	dots	1	False	False	n/a	499133.699999809	500241.5	501248.299999714
28	arabic	5	False	False	n/a	503670.699999809	504778.099999905	505792.799999714
29	beeps	3	False	False	n/a	508226.599999905	509323.0	510466.699999809
30	beeps	3	False	False	n/a	512895.099999905	514005.699999809	515025.299999714
31	written	four	False	False	n/a	517465.099999905	518575.799999714	519584.299999714
32	arabic	8	False	False	n/a	522016.299999714	523116.900000095	524119.799999714
33	arabic	9	False	False	n/a	526567.400000095	527670.099999905	528688.299999714
34	spoken	2	False	False	n/a	531111.5	532213.099999905	533227.599999905
35	spoken	5	False	False	n/a	535668.0	536768.199999809	537779.299999714
36	dots	5	False	False	n/a	540208.5	541319.599999905	542338.299999714
37	spoken	6	False	False	n/a	544769.599999905	545868.299999714	546879.900000095
38	spoken	2	False	False	n/a	549307.799999714	550409.799999714	551418.599999905
39	written	eight	True	False	2731.0	553857.400000095	557702.299999714	558217.799999714
40	spoken	4	False	False	n/a	560650.0	561749.400000095	562758.799999714
41	written	three	False	False	n/a	565197.799999714	566299.599999905	567318.099999905
42	written	nine	False	False	n/a	569759.299999714	570868.099999905	571877.5
43	written	two	False	False	n/a	574310.0	575404.699999809	576410.599999905
44	beeps	5	True	True	3003.0	578841.099999905	579941.400000095	583535.5
45	dots	5	False	False	n/a	585957.5	587057.599999905	588072.099999905
46	arabic	7	False	False	n/a	590495.099999905	591597.299999714	592602.099999905
47	beeps	5	False	False	n/a	595027.599999905	596130.099999905	597138.599999905
48	dots	4	False	False	n/a	599562.699999809	600674.299999714	601693.400000095
49	arabic	7	False	False	n/a	604133.099999905	605244.900000095	606263.699999809
50	arabic	1	False	False	n/a	608689.599999905	609794.699999809	610798.900000095
51	written	nine	True	False	671.0	613234.599999905	615004.799999714	615509.5
52	arabic	9	False	False	n/a	617940.0	619043.199999809	620056.099999905
53	beeps	1	True	True	1995.0	622491.299999714	623596.599999905	626098.900000095
54	written	three	False	False	n/a	628537.900000095	629637.699999809	630657.599999905
55	beeps	4	False	False	n/a	633097.699999809	634208.0	635257.599999905
56	arabic	1	False	False	n/a	637697.5	638807.699999809	639827.599999905
57	beeps	1	False	False	n/a	642263.5	643363.900000095	644378.0
58	spoken	9	False	False	n/a	646817.699999809	647917.699999809	648967.699999809
59	spoken	9	False	False	n/a	651397.799999714	652507.400000095	653518.199999809
60	beeps	1	False	False	n/a	655952.699999809	657047.799999714	658062.5
61	beeps	2	False	False	n/a	660494.0	661605.900000095	662616.900000095
62	dots	1	False	False	n/a	665052.900000095	666148.0	667164.099999905
63	beeps	5	False	False	n/a	669587.599999905	670697.699999809	671707.799999714
64	written	two	True	False	3450.0	674137.699999809	678694.400000095	679207.699999809
65	dots	3	False	False	n/a	681637.5	682747.199999809	683761.599999905
66	arabic	2	False	False	n/a	686194.900000095	687290.400000095	688299.400000095
67	dots	3	False	False	n/a	690724.599999905	691833.099999905	692835.299999714
68	arabic	7	False	False	n/a	695262.099999905	696370.400000095	697376.299999714
69	arabic	7	True	False	6658.0	699804.900000095	707566.900000095	708075.0
70	arabic	5	False	False	n/a	710508.299999714	711615.799999714	712630.400000095
71	beeps	4	False	False	n/a	715066.0	716161.0	717175.5
72	spoken	9	False	False	n/a	719617.5	720716.299999714	721737.799999714
73	arabic	6	False	False	n/a	724176.5	725270.699999809	726287.199999809
74	beeps	2	False	False	n/a	728710.599999905	729816.0	730824.599999905
75	written	four	False	False	n/a	733255.699999809	734357.599999905	735370.900000095
76	written	two	False	False	n/a	737806.599999905	738900.799999714	739906.900000095
77	written	one	False	False	n/a	742331.900000095	743429.199999809	744434.900000095
78	beeps	1	False	False	n/a	746870.5	747975.5	748989.099999905
79	written	six	False	False	n/a	751418.599999905	752517.699999809	753538.799999714
80	spoken	4	False	False	n/a	755968.900000095	757078.5	758094.900000095
81	written	eight	False	False	n/a	760522.699999809	761617.400000095	762628.400000095
82	arabic	7	False	False	n/a	765059.5	766157.699999809	767167.400000095
83	dots	4	False	False	n/a	769600.199999809	770705.699999809	771711.0
84	written	six	True	False	6656.0	774141.299999714	781909.099999905	782415.0
85	beeps	3	False	False	n/a	784844.900000095	785949.299999714	786959.0
86	beeps	5	False	False	n/a	789386.099999905	790496.400000095	791508.900000095
87	arabic	2	False	False	n/a	793946.799999714	795046.699999809	796056.099999905
88	dots	2	False	False	n/a	798486.699999809	799587.599999905	800607.299999714
89	dots	5	False	False	n/a	803035.099999905	804137.799999714	805142.0
90	written	eight	False	False	n/a	807565.0	808660.0	809672.900000095
91	dots	4	False	False	n/a	812095.699999809	813201.799999714	814211.299999714
92	beeps	2	False	False	n/a	816638.199999809	817745.699999809	818755.199999809
93	dots	4	False	False	n/a	821183.0	822284.299999714	823304.199999809
94	dots	3	False	False	n/a	825743.799999714	826845.599999905	827863.599999905
95	beeps	3	False	False	n/a	830286.599999905	831390.900000095	832410.099999905
96	written	nine	False	False	n/a	834849.099999905	835948.099999905	836950.0
97	written	seven	True	False	797.0	839373.299999714	841277.0	841788.699999809
98	spoken	3	False	False	n/a	844212.299999714	845319.299999714	846329.400000095
99	written	two	False	False	n/a	848759.299999714	849860.299999714	850879.0
100	spoken	9	False	False	n/a	853310.400000095	854414.799999714	855420.599999905
101	beeps	5	False	False	n/a	857844.0	858939.599999905	859960.199999809
102	dots	5	False	False	n/a	862400.599999905	863499.900000095	864504.0
103	spoken	9	False	False	n/a	866941.199999809	868040.799999714	869061.0
104	dots	5	False	False	n/a	871499.099999905	872599.099999905	873620.599999905
105	arabic	6	False	False	n/a	876054.400000095	877159.799999714	878180.5
106	dots	2	False	False	n/a	880614.699999809	881716.599999905	882721.199999809
107	arabic	8	False	False	n/a	885153.599999905	886250.400000095	887262.900000095
108	arabic	7	False	False	n/a	889699.900000095	890794.900000095	891797.5
109	spoken	7	True	True	1441.0	894234.599999905	895336.099999905	897282.699999809
110	dots	3	False	False	n/a	899712.5	900812.599999905	901821.099999905
111	spoken	2	False	False	n/a	904252.900000095	905366.799999714	906383.400000095
112	written	five	False	False	n/a	908821.5	909931.400000095	910952.5
113	spoken	1	False	False	n/a	913381.199999809	914482.400000095	915542.699999809
114	dots	1	False	False	n/a	917972.799999714	919076.400000095	920082.099999905
115	arabic	1	True	False	717.0	922521.5	924340.299999714	924851.599999905
116	dots	4	False	False	n/a	927283.900000095	928389.299999714	929390.900000095
117	dots	2	False	False	n/a	931814.5	932912.400000095	933923.5
118	beeps	1	False	False	n/a	936350.599999905	937450.599999905	938462.099999905
119	beeps	2	False	False	n/a	940890.599999905	941990.900000095	943002.400000095
120	written	six	False	False	n/a	945440.0	946540.400000095	947554.900000095
121	spoken	6	False	False	n/a	949981.199999809	951090.199999809	952100.5
122	beeps	4	False	False	n/a	954530.099999905	955625.900000095	956630.699999809
123	beeps	5	False	False	n/a	959060.599999905	960160.799999714	961181.0
124	beeps	4	False	False	n/a	963620.099999905	964731.699999809	965751.5
125	arabic	9	False	False	n/a	968179.599999905	969291.799999714	970310.299999714
126	spoken	6	False	False	n/a	972749.900000095	973861.900000095	974871.799999714
127	spoken	3	False	False	n/a	977312.0	978420.400000095	979438.5
128	arabic	6	True	False	1111.0	981870.599999905	984092.099999905	984610.5
129	written	five	False	False	n/a	987051.599999905	988150.299999714	989170.900000095
130	spoken	9	False	False	n/a	991604.099999905	992708.0	993728.5
