number	response_trial	correct	response_time	fixation_start	stimulus_start	iti_start	pd_parser_sample	trial_type
8	False	False	n/a	972.065	1.0988	2.1079	n/a	arabic
9	False	False	n/a	976.6046	1.0996	2.1082	n/a	arabic
5	True	False	10.126	981.1379	11.2225	11.7288	n/a	dots
4	False	False	n/a	995.2924	1.1019	2.1042	n/a	dots
two	False	False	n/a	999.8258	1.0947	2.1028	n/a	written
eight	False	False	n/a	1004.3565	1.1041	2.1081	n/a	written
g	False	False	n/a	1008.8891	1.0995	2.1025	146035.0	letter
7	False	False	n/a	1013.4205	1.0998	2.1092	155063.0	arabic
4	False	False	n/a	1017.9522	1.0964	2.1067	164129.0	arabic
2	False	False	n/a	1022.4912	1.1021	2.1178	173225.0	spoken
5	False	False	n/a	1027.0322	1.0963	2.1044	n/a	arabic
1	False	False	n/a	1031.5644	1.1002	2.111	191386.0	arabic
1	True	False	5.791	1036.1085	1.1034	7.4125	200485.0	spoken
one	False	False	n/a	1045.9463	1.0952	2.1023	n/a	written
seven	False	False	n/a	1050.4745	1.0943	2.1059	229182.0	written
2	False	False	n/a	1055.0124	1.1042	2.1241	238246.0	beeps
1	False	False	n/a	1059.5599	1.0988	2.1527	n/a	beeps
two	False	False	n/a	1064.1356	1.0992	2.1076	256499.0	written
6	False	False	n/a	1068.673	1.0947	2.1029	265581.0	arabic
g	False	False	n/a	1073.2044	1.0999	2.1112	274623.0	letter
g	False	False	n/a	1077.7484	1.1006	2.1078	283740.0	letter
9	False	False	n/a	1082.2844	1.1001	2.1161	292808.0	spoken
h	False	False	n/a	1086.8284	1.0991	2.1071	301904.0	letter
i	False	False	n/a	1091.36	1.0966	2.1045	310966.0	letter
6	False	False	n/a	1095.8885	1.1001	2.1201	n/a	spoken
3	False	False	n/a	1100.4323	1.0958	2.1051	329099.0	arabic
six	False	False	n/a	1104.9604	1.0961	2.1081	338199.0	written
f	False	False	n/a	1109.4972	1.0953	2.1049	347230.0	letter
5	False	False	n/a	1114.0285	1.104	2.1115	356293.0	dots
2	False	False	n/a	1118.5707	1.0978	2.1029	365398.0	dots
4	False	False	n/a	1123.0989	1.1024	2.1577	374421.0	beeps
i	False	False	n/a	1127.6805	1.0956	2.104	383619.0	letter
3	False	False	n/a	1132.2125	1.1	2.108	392679.0	dots
1	False	False	n/a	1136.7448	1.0997	2.1044	401741.0	beeps
three	True	False	2.653	1141.2735	3.7506	4.255	410804.0	written
1	False	False	n/a	1147.954	1.0985	2.1068	424131.0	spoken
eight	False	False	n/a	1152.4884	1.0971	2.1057	433225.0	written
7	False	False	n/a	1157.0205	1.1024	2.1161	442288.0	spoken
3	False	False	n/a	1161.5628	1.1017	2.1113	451349.0	dots
3	False	False	n/a	1166.0965	1.0983	2.1056	460430.0	arabic
1	False	False	n/a	1170.624	1.1	2.1085	469510.0	arabic
6	False	False	n/a	1175.1645	1.104	2.1081	n/a	spoken
