number	response_trial	correct	response_time	fixation_start	stimulus_start	iti_start	pd_parser_sample	trial_type
1	True	True	2.367	1179.697	1.0996	3.9781	n/a	beeps
5	False	False	n/a	1186.1051	1.0971	2.1031	n/a	dots
4	False	False	n/a	1190.6364	1.1041	2.1117	509526.0	beeps
4	False	False	n/a	1195.17	1.0936	2.1105	518595.0	spoken
3	False	False	n/a	1199.7077	1.1016	2.1118	527660.0	arabic
5	True	False	4.707	1204.2491	5.8021	6.3073	536707.0	dots
7	False	False	n/a	1212.9864	1.0981	2.1023	n/a	spoken
g	False	False	n/a	1217.5146	1.098	2.1046	563268.0	letter
four	False	False	n/a	1222.0506	1.096	2.1059	572335.0	written
b	False	False	n/a	1226.5876	1.1044	2.1083	581402.0	letter
8	False	False	n/a	1231.1197	1.0995	2.104	590469.0	arabic
f	False	False	n/a	1235.6492	1.0985	2.1024	599535.0	letter
3	False	False	n/a	1240.1803	1.1028	2.1089	608602.0	dots
2	False	False	n/a	1244.7161	1.1004	2.1082	617669.0	dots
6	False	False	n/a	1249.2485	1.0974	2.104	626735.0	spoken
1	False	False	n/a	1253.7798	1.1007	2.1086	635802.0	dots
2	False	False	n/a	1258.3152	1.1044	2.1086	644867.0	beeps
2	False	False	n/a	1262.849	1.0995	2.1036	653934.0	beeps
2	False	False	n/a	1267.3797	1.1048	2.1097	662999.0	beeps
1	False	False	n/a	1271.9148	1.1057	2.1103	672065.0	dots
four	False	False	n/a	1276.4492	1.0993	2.1044	681163.0	written
3	False	False	n/a	1280.9805	1.104	2.1117	690194.0	dots
h	False	False	n/a	1285.522	1.0944	2.1065	699292.0	letter
7	False	False	n/a	1290.0605	1.104	2.1083	708392.0	spoken
5	False	False	n/a	1294.5916	1.0978	2.109	717424.0	dots
8	False	False	n/a	1299.1314	1.1012	2.1091	726476.0	arabic
4	False	False	n/a	1303.6672	1.1046	2.1086	735587.0	beeps
2	False	False	n/a	1308.2013	1.0945	2.1029	744615.0	spoken
six	False	False	n/a	1312.7325	1.1001	2.108	753679.0	written
h	False	False	n/a	1317.2684	1.1001	2.1088	n/a	letter
c	False	False	n/a	1321.8045	1.1041	2.1118	771828.0	letter
1	False	False	n/a	1326.3371	1.0955	2.1031	780941.0	dots
four	False	False	n/a	1330.8645	1.0966	2.1081	n/a	written
nine	False	False	n/a	1335.4	1.0969	2.1057	799007.0	written
7	False	False	n/a	1339.9325	1.104	2.1083	808097.0	spoken
four	False	False	n/a	1344.4656	1.0979	2.1069	817194.0	written
i	False	False	n/a	1349.0017	1.0948	2.103	826227.0	letter
1	False	False	n/a	1353.5286	1.0978	2.1052	835284.0	dots
nine	False	False	n/a	1358.0605	1.104	2.1118	844394.0	written
nine	False	False	n/a	1362.6045	1.1013	2.112	853422.0	written
five	False	False	n/a	1367.1438	1.1006	2.1077	862520.0	written
f	False	False	n/a	1399.0783	1.0983	2.1079	926389.0	letter
1	False	False	n/a	1403.6121	1.1015	2.112	935458.0	dots
5	False	False	n/a	1408.1519	1.096	2.1035	944523.0	dots
b	False	False	n/a	1412.6845	1.104	2.11	953619.0	letter
five	False	False	n/a	1417.2166	1.0995	2.1079	962684.0	written
5	False	False	n/a	1421.7525	1.0966	2.1048	971715.0	dots
c	False	False	n/a	1426.2844	1.1042	2.1122	980813.0	letter
1	False	False	n/a	1430.8285	1.0992	2.1078	989909.0	arabic
f	False	False	n/a	1435.3633	1.1046	2.1085	998937.0	letter
2	True	True	2.151	1439.8966	1.0961	3.7519	1008034.0	beeps
c	False	False	n/a	1446.0719	1.1008	2.1085	1020396.0	letter
7	False	False	n/a	1450.6111	1.1029	2.1131	1029461.0	spoken
b	False	False	n/a	1455.1522	1.0974	2.103	1038525.0	letter
2	False	False	n/a	1459.6845	1.104	2.1075	1047622.0	spoken
five	True	False	2.421	1464.2174	3.5163	4.0234	1056653.0	written
2	False	False	n/a	1470.6651	1.0955	2.1074	1069587.0	dots
four	False	False	n/a	1475.2001	1.0963	2.1083	1078626.0	written
e	False	False	n/a	1479.7361	1.0982	2.1083	1087681.0	letter
5	False	False	n/a	1484.2759	1.1015	2.1166	1096811.0	spoken
a	False	False	n/a	1488.8154	1.0968	2.1051	1105877.0	letter
3	False	False	n/a	1493.3486	1.1	2.1159	1114910.0	beeps
five	False	False	n/a	1497.8885	1.0961	2.1041	1124006.0	written
7	False	False	n/a	1502.4182	1.0951	2.1029	1133070.0	arabic
2	False	False	n/a	1506.9485	1.1	2.1081	1142169.0	beeps
2	True	True	1.614	1511.4815	1.0951	3.2167	1151168.0	spoken
1	False	False	n/a	1517.1222	1.0944	2.1024	1162499.0	spoken
h	False	False	n/a	1521.6478	1.0976	2.1051	1171531.0	letter
6	False	False	n/a	1526.1782	1.0957	2.1026	1180596.0	spoken
9	False	False	n/a	1530.7081	1.1005	2.1124	1189663.0	arabic
eight	False	False	n/a	1535.2473	1.0985	2.1084	1198729.0	written
six	False	False	n/a	1539.7866	1.1025	2.1093	1207796.0	written
7	False	False	n/a	1544.3205	1.0996	2.1037	1216852.0	arabic
2	False	False	n/a	1548.8503	1.0983	2.1021	1225914.0	dots
1	False	False	n/a	1553.3805	1.1001	2.1115	1235001.0	arabic
1	False	False	n/a	1557.9246	1.104	2.1082	1244070.0	beeps
h	True	False	2.9	1562.4576	3.9971	4.5038	1253169.0	letter
nine	False	False	n/a	1569.3866	1.0934	2.106	n/a	written
4	False	False	n/a	1573.9204	1.1002	2.1081	1276062.0	beeps
two	False	False	n/a	1578.4504	1.0932	2.1022	1285162.0	written
f	False	False	n/a	1582.9768	1.0959	2.1078	1294193.0	letter
9	False	False	n/a	1587.5166	1.104	2.1086	1303291.0	arabic
four	False	False	n/a	1592.0495	1.0969	2.107	1312356.0	written
9	True	False	3.65	1596.5843	4.7492	5.2575	1321390.0	arabic
3	False	False	n/a	1604.2646	1.0987	2.1042	1336757.0	beeps
5	False	False	n/a	1608.7965	1.1	2.1079	1345820.0	dots
2	False	False	n/a	1613.3323	1.1026	2.1085	1354884.0	spoken
3	False	False	n/a	1617.8644	1.0991	2.1056	1363982.0	dots
3	False	False	n/a	1622.3915	1.0974	2.1132	1373013.0	spoken
g	False	False	n/a	1626.9321	1.1045	2.1085	1382074.0	letter
7	False	False	n/a	1631.4668	1.1017	2.11	1391172.0	spoken
4	False	False	n/a	1636.0034	1.1012	2.1107	1400268.0	beeps
2	False	False	n/a	1640.5405	1.1001	2.1081	1409304.0	beeps
9	False	False	n/a	1645.0747	1.0959	2.1021	1418375.0	spoken
1	False	False	n/a	1649.6019	1.0987	2.1068	1427456.0	beeps
7	True	False	2.385	1654.1405	3.4855	3.9887	1436518.0	arabic
six	False	False	n/a	1660.5565	1.1021	2.1094	1449345.0	written
5	True	False	2.468	1665.0925	3.5724	4.0777	1458440.0	arabic
four	True	False	2.137	1671.5925	3.2325	3.7354	1471400.0	written
1	False	False	n/a	1677.7566	1.1039	2.1086	1483725.0	dots
2	False	False	n/a	1682.2885	1.1001	2.1052	1492821.0	dots
1	False	False	n/a	1686.8205	1.1041	2.1083	1501884.0	beeps
three	False	False	n/a	1691.3546	1.0981	2.1059	1510948.0	written
1	False	False	n/a	1695.891	1.1008	2.1096	1519993.0	arabic
1	False	False	n/a	1700.4285	1.1039	2.1106	1529104.0	beeps
four	False	False	n/a	1704.9686	1.0968	2.105	n/a	written
7	False	False	n/a	1709.5006	1.1	2.112	n/a	arabic
i	False	False	n/a	1714.0446	1.104	2.1084	1556325.0	letter
6	False	False	n/a	1718.5787	1.1047	2.1091	1565387.0	arabic
f	False	False	n/a	1723.1128	1.0993	2.1034	n/a	letter
9	True	False	2.57	1727.6445	1.1041	4.1814	n/a	spoken
4	False	False	n/a	1734.2494	1.0954	2.1074	1596775.0	beeps
2	False	False	n/a	1738.7849	1.0964	2.1031	n/a	beeps
4	False	False	n/a	1743.3131	1.0964	2.1035	n/a	dots
3	False	False	n/a	1747.8446	1.104	2.1107	1623928.0	dots
3	False	False	n/a	1752.3843	1.0973	2.1069	1632987.0	spoken
h	False	False	n/a	1756.9224	1.0982	2.1022	1642084.0	letter
4	True	False	3.781	1761.4503	4.8756	5.3821	n/a	arabic
8	False	False	n/a	1769.2605	1.1023	2.112	n/a	arabic
5	False	False	n/a	1773.8005	1.0972	2.1034	1675870.0	arabic
1	False	False	n/a	1778.3325	1.1037	2.1112	1684900.0	dots
2	False	False	n/a	1782.8765	1.104	2.1078	1693994.0	beeps
3	False	False	n/a	1787.4095	1.0955	2.1031	1703060.0	beeps
nine	False	False	n/a	1791.9376	1.0977	2.1054	1712094.0	written
5	False	False	n/a	1837.6198	1.1042	2.2008	n/a	beeps
4	True	True	3.833	1842.2426	1.094	5.4296	1812749.0	beeps
three	True	False	2.309	1850.0966	3.4054	3.9113	1828415.0	written
4	False	False	n/a	1856.4343	1.0984	2.1032	1841118.0	spoken
7	False	False	n/a	1860.9634	1.1022	2.111	1850182.0	spoken
9	False	False	n/a	1865.5003	1.1042	2.112	1859247.0	arabic
6	False	False	n/a	1870.0406	1.0977	2.1069	1868286.0	arabic
g	False	False	n/a	1874.5765	1.0954	2.1037	1877373.0	letter
5	False	False	n/a	1879.1087	1.1039	2.1082	n/a	beeps
1	False	False	n/a	1883.64	1.0979	2.1048	1895534.0	spoken
1	False	False	n/a	1888.1687	1.0952	2.1076	1904596.0	dots
e	False	False	n/a	1892.7065	1.0939	2.1013	1913660.0	letter
1	False	False	n/a	1897.2365	1.1001	2.1083	1922702.0	dots
eight	False	False	n/a	1901.7684	1.0985	2.1075	1931793.0	written
9	False	False	n/a	1906.3046	1.0969	2.1031	1940861.0	arabic
1	False	False	n/a	1910.8365	1.0998	2.1108	1949927.0	dots
8	False	False	n/a	1915.3806	1.0993	2.111	1958994.0	spoken
1	False	False	n/a	1919.9238	1.1016	2.1128	1968066.0	arabic
5	False	False	n/a	1924.4643	1.0983	2.1085	1977199.0	beeps
nine	False	False	n/a	1929.0005	1.0951	2.1057	n/a	written
1	False	False	n/a	1933.5286	1.0993	2.1046	1995302.0	spoken
4	False	False	n/a	1938.0562	1.0955	2.1084	n/a	arabic
2	True	True	2.038	1942.5925	1.0981	3.6433	2013399.0	spoken
five	False	False	n/a	1948.665	1.0969	2.1032	2025570.0	written
2	False	False	n/a	1953.1966	1.103	2.1104	2034637.0	dots
g	False	False	n/a	1957.7356	1.0988	2.1041	2043705.0	letter
3	False	False	n/a	1962.2668	1.1016	2.1099	2052774.0	beeps
1	False	False	n/a	1966.8027	1.0939	2.1022	2061874.0	spoken
5	True	False	3.921	1971.3296	5.0169	5.5194	n/a	dots
h	False	False	n/a	1979.2741	1.0985	2.1037	2086816.0	letter
c	True	False	1.899	1983.8046	2.9998	3.512	2095853.0	letter
3	False	False	n/a	1989.7486	1.1006	2.11	2107721.0	arabic
1	False	False	n/a	1994.2824	1.0979	2.1025	2116823.0	spoken
4	False	False	n/a	1998.8101	1.094	2.1028	2125856.0	beeps
4	False	False	n/a	2003.3376	1.0979	2.1069	n/a	dots
six	False	False	n/a	2007.8766	1.104	2.1118	2144018.0	written
2	False	False	n/a	2012.4206	1.102	2.112	2153073.0	arabic
one	False	False	n/a	2016.9606	1.0985	2.1032	2162185.0	written
5	False	False	n/a	2021.4926	1.1041	2.1108	2171251.0	dots
i	False	False	n/a	2026.0366	1.104	2.1072	2180316.0	letter
3	True	True	4.226	2030.5722	1.1044	5.8384	2189384.0	spoken
a	True	False	2.41	2038.8356	3.5153	4.0226	2205918.0	letter
1	False	False	n/a	2045.2841	1.1014	2.1086	2218814.0	beeps
4	False	False	n/a	2049.8189	1.1058	2.1137	2227879.0	dots
5	False	False	n/a	2054.3634	1.1016	2.1106	2236943.0	dots
1	False	False	n/a	2058.9006	1.1008	2.1091	2246059.0	arabic
8	False	False	n/a	2063.4363	1.1005	2.1085	2255104.0	spoken
2	False	False	n/a	2067.9726	1.1041	2.11	2264167.0	beeps
4	False	False	n/a	2072.5074	1.1052	2.1121	2273266.0	spoken
5	False	False	n/a	2077.0514	1.1053	2.1124	2282334.0	spoken
8	False	False	n/a	2081.5926	1.0961	2.1064	2291432.0	spoken
1	False	False	n/a	2086.1247	1.1018	2.1121	n/a	beeps
5	False	False	n/a	2090.6636	1.1011	2.1082	2309565.0	dots
5	False	False	n/a	2095.2006	1.0954	2.1068	2318630.0	arabic
8	False	False	n/a	2099.7369	1.0997	2.1076	2327682.0	arabic
three	False	False	n/a	2104.2766	1.1041	2.1103	2336823.0	written
1	False	False	n/a	2108.8095	1.099	2.1066	2345880.0	beeps
5	False	False	n/a	2113.3471	1.101	2.1098	2354943.0	beeps
7	False	False	n/a	2117.8811	1.0995	2.1077	2364004.0	spoken
one	False	False	n/a	2122.4163	1.0973	2.1044	2373051.0	written
three	False	False	n/a	2126.9485	1.1022	2.111	2382162.0	written
3	False	False	n/a	2131.4886	1.0988	2.1033	n/a	beeps
5	False	False	n/a	2136.0167	1.096	2.1057	2400288.0	spoken
five	False	False	n/a	2140.5486	1.1001	2.108	2409320.0	written
i	False	False	n/a	2145.0844	1.1004	2.1083	2418383.0	letter
1	False	False	n/a	2149.6206	1.1035	2.112	2427513.0	arabic
1	False	False	n/a	2154.1543	1.0983	2.1019	2436524.0	arabic
2	True	False	2.244	2158.6799	3.3442	3.8501	2445604.0	dots
h	False	False	n/a	2164.9527	1.0983	2.103	2458171.0	letter
h	True	False	3.252	2169.4846	4.3557	4.862	2467203.0	letter
4	False	False	n/a	2176.7694	1.0945	2.1029	2481767.0	beeps
c	False	False	n/a	2181.2967	1.096	2.1039	2490832.0	letter
b	False	False	n/a	2185.8286	1.1	2.1117	2499896.0	letter
f	False	False	n/a	2190.3719	1.1017	2.1127	2508994.0	letter
9	False	False	n/a	2194.9124	1.0968	2.1044	2518055.0	spoken
six	False	False	n/a	2199.4446	1.0995	2.108	2527117.0	written
4	False	False	n/a	2203.9758	1.0967	2.108	2536193.0	dots
5	False	False	n/a	2208.5143	1.0937	2.1013	2545312.0	beeps
1	False	False	n/a	2213.0446	1.1009	2.1118	n/a	spoken
5	True	False	5.307	2217.584	1.0959	6.9127	n/a	beeps
1	False	False	n/a	2226.9236	1.101	2.1099	2582113.0	dots
5	False	False	n/a	2231.4566	1.1	2.1052	2591179.0	beeps
1	False	False	n/a	2235.9863	1.0943	2.1028	2600210.0	dots
2	False	False	n/a	2240.5167	1.104	2.1121	2609271.0	beeps
