number	trial_type	response_trial	correct	response_time	fixation_start	stimulus_start	iti_start	pd_parser_sample
5	arabic	False	False	n/a	707.6948999999762	1.0966999999880045	2.101199999988012	n/a
2	dots	False	False	n/a	712.2193999999762	1.0931999999880873	2.098100000023805	n/a
eight	written	False	False	n/a	716.7386999999881	1.097899999976221	2.1033999999762045	n/a
one	written	False	False	n/a	721.2678999999762	1.0971000000238291	2.1029000000357883	n/a
9	arabic	False	False	n/a	725.7933000000119	1.0977999999523718	2.102399999976228	n/a
2	dots	False	False	n/a	730.3185999999642	1.0979000000357928	2.099200000047631	n/a
4	spoken	False	False	n/a	734.8420999999643	1.0979999999999563	2.1117000000476764	n/a
1	beeps	False	False	n/a	739.3743999999762	1.09619999998813	2.127100000023802	n/a
five	written	False	False	n/a	743.923300000012	1.096399999976143	2.100799999952301	n/a
4	dots	False	False	n/a	748.4498000000119	1.094000000000051	2.0975999999642454	n/a
3	arabic	False	False	n/a	752.972	1.097899999976221	2.1013000000119746	n/a
5	spoken	False	False	n/a	757.4965	1.094000000000051	2.105599999964284	n/a
6	spoken	False	False	n/a	762.0278999999762	1.0964000000357146	2.1104000000357246	245959.0
8	spoken	False	False	n/a	766.5595	1.0935999999642263	2.106399999976248	n/a
nine	written	False	False	n/a	771.090699999988	1.09619999998813	2.102000000000089	255028.0
3	dots	False	False	n/a	775.6170999999642	1.0951000000238764	2.097499999999968	n/a
3	spoken	False	False	n/a	780.138699999988	1.0948000000120146	2.107600000023922	264062.0
4	dots	False	False	n/a	784.6695	1.0946999999880518	2.099399999976185	268607.0
2	beeps	True	True	28.226	789.1926999999881	1.092999999999961	29.857999999999947	273119.0
one	written	False	False	n/a	821.476300000012	1.0943999999760765	2.0983999999760954	305410.0
7	spoken	False	False	n/a	825.9998999999762	1.0978000000119437	2.1096000000238746	309935.0
7	arabic	False	False	n/a	830.530300000012	1.0978999999761072	2.102199999988102	314469.0
2	spoken	False	False	n/a	835.057199999988	1.0963999999762564	2.109199999988164	318975.0
8	spoken	False	False	n/a	839.587800000012	1.097199999987993	2.101199999988012	323533.0
2	dots	False	False	n/a	844.1143999999762	1.0966999999881182	2.101100000023848	328052.0
nine	written	False	False	n/a	848.6363000000119	1.0978999999761072	2.1016999999881136	332570.0
5	arabic	False	False	n/a	853.1636999999881	1.093499999999949	2.0971999999879927	337099.0
1	dots	False	False	n/a	857.682	1.0979999999999563	2.1019999999999754	341602.0
5	arabic	False	False	n/a	862.2095	1.095599999964179	2.096599999964156	346146.0
3	beeps	False	False	n/a	866.7281999999881	1.0946999999880518	2.1341999999880272	350647.0
3	beeps	False	False	n/a	871.283199999988	1.0928000000119482	2.0958999999761545	355217.0
four	written	False	False	n/a	875.8001999999881	1.0955000000000157	2.101199999988125	359739.0
8	arabic	False	False	n/a	880.326	1.092699999988099	2.0966999999880045	364269.0
9	arabic	False	False	n/a	884.846800000012	1.0974999999999682	2.10089999997615	368784.0
2	spoken	False	False	n/a	889.3698000000119	1.097899999976221	2.102299999952379	373311.0
5	spoken	False	False	n/a	893.8955999999642	1.0977000000476664	2.102999999999952	377838.0
5	dots	False	False	n/a	898.4191999999881	1.0978999999761072	2.1038000000119155	382356.0
6	spoken	False	False	n/a	902.9485	1.0930000000000746	2.097699999987981	n/a
2	spoken	False	False	n/a	907.472	1.0940999999642145	2.0980999999642336	391416.0
eight	written	True	False	1.904	911.995699999988	2.9996000000240883	3.504199999988145	395933.0
4	spoken	False	False	n/a	917.925300000012	1.0935999999641126	2.098599999964108	401864.0
three	written	False	False	n/a	922.449300000012	1.0975999999641315	2.102099999964139	406392.0
nine	written	False	False	n/a	926.973800000012	1.0938999999759744	2.098500000000058	410920.0
two	written	False	False	n/a	931.498	1.097399999976119	2.09909999996421	415449.0
5	beeps	True	False	47.305	936.020699999988	1.0936000000240256	48.97739999997623	419943.0
5	dots	False	False	n/a	987.4190999999644	1.092999999999961	2.096700000047804	471341.0
7	arabic	False	False	n/a	991.941300000012	1.0960999999641672	2.1000999999641863	475887.0
5	beeps	False	False	n/a	996.467	1.0953999999761663	2.0995000000000346	480405.0
4	dots	False	False	n/a	1000.990699999988	1.097899999976221	2.10260000002404	484931.0
7	arabic	False	False	n/a	1005.5185999999642	1.0972000000479056	2.098500000000058	489453.0
1	arabic	False	False	n/a	1010.0413999999762	1.09590000003584	2.100999999999999	493983.0
nine	written	True	False	2.831	1014.567199999988	3.925000000000068	4.429500000000076	498509.0
9	arabic	False	False	n/a	1021.419	1.0936999999879615	2.097699999987981	505364.0
1	beeps	True	True	54.089	1025.939800000012	1.0970999999642572	55.69049999999993	509882.0
three	written	False	False	n/a	1084.0555	1.0943999999763037	2.098500000000058	567990.0
4	beeps	False	False	n/a	1088.575300000012	1.0967999999522815	2.133699999988039	572490.0
1	arabic	False	False	n/a	1093.1320999999643	1.0953000000117754	2.0989000000356555	577071.0
1	beeps	False	False	n/a	1097.6518999999762	1.09780000001183	2.1016999999881136	581593.0
9	spoken	False	False	n/a	1102.174699999988	1.0960000000000036	2.1093999999761763	586117.0
