trial_i	trial_type	number	response_trial	correct	response_time	fixation_start	stimulus_start	iti_start
2	written	eight	False	False	n/a	467220.099999905	468328.0	469344.299999952
6	spoken	4	False	False	n/a	485441.599999905	486540.799999952	487729.199999809
7	beeps	1	False	False	n/a	490166.599999905	491268.099999905	492308.399999857
8	written	five	False	False	n/a	494747.299999952	495843.799999952	496848.299999952
9	dots	4	False	False	n/a	499288.5	500388.199999809	501408.199999809
10	arabic	3	False	False	n/a	503834.799999952	504930.5	505936.599999905
11	spoken	5	False	False	n/a	508368.199999809	509472.599999905	510538.799999952
12	spoken	6	False	False	n/a	512976.5	514076.699999809	515127.799999952
13	spoken	8	False	False	n/a	517566.299999952	518676.799999952	519727.899999857
14	written	nine	False	False	n/a	522156.899999857	523255.099999905	524266.799999952
15	dots	3	False	False	n/a	526696.799999952	527805.599999905	528826.099999905
16	spoken	3	False	False	n/a	531258.299999952	532357.799999952	533410.899999857
17	dots	4	False	False	n/a	535845.899999857	536940.899999857	537960.599999905
18	beeps	2	True	True	3829.0	540390.099999905	541491.399999857	545870.0
19	written	one	False	False	n/a	548300.5	549400.5	550410.899999857
20	spoken	7	False	False	n/a	552838.0	553944.5	555003.5
21	arabic	7	False	False	n/a	557443.399999857	558543.0	559563.599999905
22	spoken	2	False	False	n/a	562003.599999905	563104.099999905	564163.899999857
23	spoken	8	False	False	n/a	566603.199999809	567703.5	568724.5
24	dots	2	False	False	n/a	571162.899999857	572263.5	573283.599999905
25	written	nine	False	False	n/a	575713.799999952	576814.099999905	577822.099999905
26	arabic	5	False	False	n/a	580258.199999809	581367.899999857	582375.699999809
27	dots	1	False	False	n/a	584811.199999809	585915.199999809	586925.799999952
28	arabic	5	False	False	n/a	589349.0	590446.5	591457.799999952
29	beeps	3	False	False	n/a	593889.699999809	594996.0	596168.399999857
30	beeps	3	False	False	n/a	598597.099999905	599697.299999952	600718.199999809
31	written	four	False	False	n/a	603146.199999809	604255.899999857	605268.299999952
32	arabic	8	False	False	n/a	607707.399999857	608806.799999952	609827.0
33	arabic	9	False	False	n/a	612256.799999952	613352.899999857	614362.599999905
34	spoken	2	False	False	n/a	616802.899999857	617899.599999905	618921.899999857
35	spoken	5	False	False	n/a	621350.299999952	622450.799999952	623462.599999905
36	dots	5	False	False	n/a	625901.099999905	627001.099999905	628017.399999857
37	spoken	6	False	False	n/a	630441.5	631551.399999857	632561.799999952
38	spoken	2	False	False	n/a	634990.899999857	636101.799999952	637111.899999857
39	written	eight	True	False	1833.0	639551.199999809	642485.699999809	642991.0
40	spoken	4	False	False	n/a	645431.899999857	646541.799999952	647561.399999857
41	written	three	False	False	n/a	649990.799999952	651091.0	652110.099999905
42	written	nine	False	False	n/a	654551.799999952	655651.399999857	656671.799999952
43	written	two	False	False	n/a	659099.799999952	660194.599999905	661200.199999809
44	beeps	5	True	True	3503.0	663623.299999952	664735.599999905	668798.199999809
45	dots	5	False	False	n/a	671237.0	672338.5	673358.399999857
46	arabic	7	False	False	n/a	675798.299999952	676897.699999809	677906.799999952
47	beeps	5	False	False	n/a	680338.5	681447.0	682465.099999905
48	dots	4	False	False	n/a	684903.699999809	686004.299999952	687024.299999952
49	arabic	7	False	False	n/a	689464.699999809	690564.699999809	691584.699999809
50	arabic	1	False	False	n/a	694009.899999857	695107.899999857	696114.699999809
51	written	nine	True	False	1948.0	698542.399999857	701596.0	702107.799999952
52	arabic	9	False	False	n/a	704532.199999809	705633.0	706644.299999952
53	beeps	1	True	True	2457.0	709068.099999905	710165.599999905	713147.599999905
54	written	three	False	False	n/a	715588.199999809	716688.399999857	717708.0
55	beeps	4	False	False	n/a	720148.099999905	721246.0	722283.099999905
56	arabic	1	False	False	n/a	724712.0	725810.0	726831.899999857
57	beeps	1	False	False	n/a	729271.699999809	730382.199999809	731391.399999857
58	spoken	9	False	False	n/a	733831.199999809	734931.899999857	735983.0
59	spoken	9	False	False	n/a	738421.799999952	739531.0	740541.099999905
60	beeps	1	False	False	n/a	742971.599999905	744071.199999809	745092.5
61	beeps	2	False	False	n/a	747531.099999905	748631.5	749652.0
62	dots	1	False	False	n/a	752091.5	753192.399999857	754214.599999905
63	beeps	5	False	False	n/a	756651.699999809	757753.199999809	758763.199999809
64	written	two	True	False	1876.0	761186.299999952	764161.099999905	764681.5
65	dots	3	False	False	n/a	767121.899999857	768222.299999952	769233.799999952
66	arabic	2	False	False	n/a	771656.799999952	772764.199999809	773769.599999905
67	dots	3	False	False	n/a	776209.099999905	777306.5	778315.899999857
68	arabic	7	False	False	n/a	780748.099999905	781844.199999809	782852.0
69	arabic	7	True	False	1524.0	785278.199999809	787900.399999857	788411.0
70	arabic	5	False	False	n/a	790848.399999857	791949.299999952	792958.899999857
71	beeps	4	False	False	n/a	795388.5	796492.0	797501.699999809
72	spoken	9	False	False	n/a	799942.299999952	801043.199999809	802053.299999952
73	arabic	6	False	False	n/a	804481.799999952	805582.599999905	806591.799999952
74	beeps	2	False	False	n/a	809032.099999905	810132.5	811143.899999857
75	written	four	False	False	n/a	813572.0	814682.399999857	815702.199999809
76	written	two	False	False	n/a	818142.399999857	819242.699999809	820262.699999809
77	written	one	False	False	n/a	822694.5	823804.299999952	824813.899999857
78	beeps	1	False	False	n/a	827250.399999857	828356.299999952	829370.0
79	written	six	False	False	n/a	831809.0	832909.399999857	833928.399999857
80	spoken	4	False	False	n/a	836359.299999952	837459.599999905	838480.299999952
81	written	eight	False	False	n/a	840909.0	842009.699999809	843029.099999905
82	arabic	7	False	False	n/a	845470.0	846569.399999857	847589.399999857
83	dots	4	False	False	n/a	850013.099999905	851109.0	852119.0
84	written	six	True	False	1525.0	854552.299999952	857181.899999857	857693.899999857
85	beeps	3	False	False	n/a	860116.699999809	861213.899999857	862217.0
86	beeps	5	False	False	n/a	864655.799999952	865756.399999857	866776.799999952
87	arabic	2	False	False	n/a	869215.699999809	870326.599999905	871345.799999952
88	dots	2	False	False	n/a	873776.199999809	874876.599999905	875896.699999809
89	dots	5	False	False	n/a	878332.399999857	879439.299999952	880444.299999952
90	written	eight	False	False	n/a	882877.5	883981.199999809	884988.299999952
91	dots	4	False	False	n/a	887419.599999905	888526.099999905	889533.899999857
92	beeps	2	False	False	n/a	891966.899999857	893071.699999809	894079.699999809
93	dots	4	False	False	n/a	896518.799999952	897619.5	898639.5
94	dots	3	False	False	n/a	901078.699999809	902178.899999857	903198.899999857
95	beeps	3	False	False	n/a	905633.5	906733.399999857	907755.399999857
96	written	nine	False	False	n/a	910195.5	911290.099999905	912295.099999905
97	written	seven	True	False	1867.0	914735.199999809	917703.199999809	918208.299999952
98	spoken	3	False	False	n/a	920650.0	921756.5	922779.5
99	written	two	False	False	n/a	925218.599999905	926319.099999905	927339.299999952
100	spoken	9	False	False	n/a	929769.0	930868.799999952	931879.699999809
101	beeps	5	False	False	n/a	934319.5	935428.899999857	936449.299999952
102	dots	5	False	False	n/a	938874.0	939978.699999809	940999.0
103	spoken	9	False	False	n/a	943429.399999857	944529.199999809	945549.5
104	dots	5	False	False	n/a	947988.599999905	949088.599999905	950109.099999905
105	arabic	6	False	False	n/a	952539.199999809	953639.0	954659.0
106	dots	2	False	False	n/a	957083.0	958178.0	959186.299999952
107	arabic	8	False	False	n/a	961612.599999905	962716.699999809	963742.299999952
108	arabic	7	False	False	n/a	966167.699999809	967271.599999905	968275.599999905
109	spoken	7	True	True	2186.0	970705.299999952	971802.5	974512.299999952
110	dots	3	False	False	n/a	976942.599999905	978052.299999952	979073.399999857
111	spoken	2	False	False	n/a	981513.799999953	982613.0	983632.899999857
112	written	five	False	False	n/a	986061.699999809	987157.399999857	988161.599999905
113	spoken	1	False	False	n/a	990602.099999905	991702.5	992773.399999857
114	dots	1	False	False	n/a	995212.099999905	996312.799999953	997332.5
115	arabic	1	True	False	1774.0	999772.099999905	1002657.5	1003172.79999995
116	dots	4	False	False	n/a	1005596.69999981	1006694.89999986	1007699.0
117	dots	2	False	False	n/a	1010130.19999981	1011229.29999995	1012236.5
118	beeps	1	False	False	n/a	1014662.69999981	1015769.5	1016782.19999981
119	beeps	2	False	False	n/a	1019223.0999999	1020323.0	1021343.69999981
120	written	six	False	False	n/a	1023782.79999995	1024883.0999999	1025903.0
121	spoken	6	False	False	n/a	1028342.89999986	1029443.29999995	1030464.39999986
122	beeps	4	False	False	n/a	1032903.5	1034000.0	1035015.19999981
123	beeps	5	False	False	n/a	1037442.89999986	1038543.5	1039564.19999981
124	beeps	4	False	False	n/a	1042001.39999986	1043103.39999986	1044124.5999999
125	arabic	9	False	False	n/a	1046562.5	1047662.79999995	1048683.19999981
126	spoken	6	False	False	n/a	1051123.79999995	1052222.79999995	1053243.5999999
127	spoken	3	False	False	n/a	1055683.0999999	1056782.19999981	1057802.0
128	arabic	6	True	False	1588.0	1060243.0999999	1062934.19999981	1063443.69999981
129	written	five	False	False	n/a	1065883.69999981	1066983.29999995	1067997.89999986
130	spoken	9	False	False	n/a	1070430.0999999	1071536.0999999	1072559.0999999
131	spoken	3	False	False	n/a	1074988.0999999	1076087.5999999	1077106.29999995
132	beeps	4	False	False	n/a	1079547.69999981	1080658.39999986	1081678.29999995
133	spoken	9	False	False	n/a	1084119.5999999	1085227.39999986	1086251.5999999
134	spoken	6	False	False	n/a	1088677.5	1089787.79999995	1090809.5999999
135	spoken	1	False	False	n/a	1093247.0	1094357.79999995	1095378.79999995
136	arabic	3	False	False	n/a	1097817.29999995	1098918.0	1099937.89999986
137	spoken	1	True	True	2664.0	1102377.0999999	1103477.79999995	1106657.19999981
138	arabic	8	False	False	n/a	1109098.0	1110197.89999986	1111217.19999981
139	beeps	4	False	False	n/a	1113648.29999995	1114747.5999999	1115768.5
140	arabic	4	False	False	n/a	1118197.19999981	1119297.69999981	1120307.79999995
141	beeps	2	False	False	n/a	1122737.79999995	1123837.19999981	1124857.5
142	spoken	1	False	False	n/a	1127298.0	1128408.19999981	1129418.39999986
143	spoken	6	False	False	n/a	1131847.19999981	1132947.5999999	1133957.79999995
144	dots	1	False	False	n/a	1136387.5999999	1137498.29999995	1138517.69999981
145	dots	5	False	False	n/a	1140958.29999995	1142068.0999999	1143078.5
146	dots	4	False	False	n/a	1145512.39999986	1146620.69999981	1147629.29999995
147	beeps	3	False	False	n/a	1150060.29999995	1151160.0999999	1152177.79999995
148	beeps	2	True	True	2176.0	1154616.5	1155724.5999999	1158416.5999999
149	arabic	9	False	False	n/a	1160857.0	1161967.5	1162987.0999999
150	written	seven	True	False	1939.0	1165428.0	1168467.29999995	1168973.69999981
151	written	six	True	False	1282.0	1171404.29999995	1173786.39999986	1174298.89999986
